conference ID|year|name|description|url
3478|1998|1998 IEEE/MTT-S International Microwave Symposium - MTT '98||
3556|1998|1998 Annual Reliability and Maintainability Symposium - Product Quality & Integrity (RAMS)||
3557|1999|1999 Annual Reliability and Maintainability Symposium - Product Quality & Integrity (RAMS)||http://www.rams.org/
4114|1998|ICASSP '98 - 1998 IEEE International Conference on Acoustics, Speech and Signal Processing||
4392|1998|1998 IEEE International Symposium on Electrical Insulation (ISEI)||
4415|1998|1998 IEEE Applied Power Electronics Conference and Exposition - APEC '98||
4416|1998|1998 IEEE Power Electronics Specialists Conference - PESC '98||http://www.kawalab.dnj.ynu.ac.jp/PESC98/
4444|1998|CONCAPAN XVIII - 1998 IEEE Central America and Panama Conference||http://www.mercadonet.com/concapan.htm
4445|1999|CONCAPAN XIX - 1999 IEEE Central America and Panama Conference||
4471|1998|1998 IEEE/IAS Industrial & Commercial Power Systems Technical Conference (I&CPS)||
4472|1999|1999 IEEE/IAS Industrial & Commercial Power Systems Technical Conference (I&CPS)||
4701|1998|1998 IEEE Nuclear & Space Radiation Effects Conference (NSREC '98)||
4702|2002|2002 IEEE International Symposium on Electromagnetic Compatibility - EMC 2002||http://www.2002-ieee-emc.org
4707|1998|1998 IEEE World Congress on Computational Intelligence (WCCI)||
4724|1998|1998 IEEE Power Engineering Society Winter Meeting||http://www.ieee.org/power/wm98prev.htm
4725|1998|1998 IEEE Power Engineering Society Summer Meeting||
4726|1999|1999 IEEE Power Engineering Society Winter Meeting||http://www.ieee.org/power
4727|1999|1999 IEEE Power Engineering Society Summer Meeting||http://www.ieee.org/organizations/society/power/power.html
4816|1998|1998 IEEE 25th International Conference on Plasma Sciences (ICOPS)||http://www.ne.ncsu.edu/ICOPS/topics.html
4848|1998|1998 8th Biennial IEEE Conference on Electromagnetic Field Computation (CEFC)||http://www.ece.arizona.edu/~cefc98
4854|2003|2003 IEEE Antennas and Propagation Society International Symposium and URSI National Radio Science Meeting||http://aps2003.eng.ohio-state.edu
4855|2003|2003 IEEE/MTT-S International Microwave Symposium - MTT 2003||http://www.ims2003.org
4858|1999|1999 IEEE/MTT-S International Microwave Symposium - MTT '99||http://www.mtt.org/ims1999
4861|2003|2003 IEEE International Symposium on Electromagnetic Compatibility in Turkey||http://www.ortra.com/emc2003/
4880|2002|2002 IEEE/MTT-S International Microwave Symposium - MTT 2002||http://www.ims2002.org
4913|1999|1999 IEEE/PES Transmission & Distribution Conference & Exposition||http://www.99ieeet-d.org
4914|1998|1998 IEEE 6th International Conference on Conduction and Breakdown in Solid Dielectrics||
4941|1998|1998 IEEE International Professional Communication Conference (IPCC '98)||http://engine.ieee.org/society/pcs/confrnce.html
4961|1998|SOUTHEASTCON '98||http://www-ece.engr.ucf.edu/secon98
4983|2003|2003 IEEE Symposium on Electromagnetic Compatibility - EMC 2003 Boston||http://www.emc2003.org/
5018|1998|1998 IEEE 7th International Fuzzy Systems Conference||
5019|1998|1998 IEEE International Conference on Neural Networks (ICNN '98)||
5020|1998|1998 IEEE International Conference on Evolutionary Computation||
5043|1998|1998 IEEE Information Theory Workshop (ITW)||
5061|1998|GLOBECOM '98 - 1998 IEEE Global Telecommunications Conference||
5063|1999|1999 IEEE Industry Applications Society Annual Meeting||http://www.ewh.ieee.org/soc/ias/iasconf99/
5101|1998|1998 American Control Conference - ACC '98||
5120|1998|1998 IEEE International Conference on Systems, Man and Cybernetics - SMC||http://www.engr.rutgers.edu/~smc98
5133|1998|1998 IEEE Radar Conference||
5193|1999|SOUTHEASTCON '99||
5196|1998|1998 International Underwater Technology Symposium (UT)||
5230|1998|AUTOTESTCON '98||http://www.autotestcon.com
5244|1998|1998 IEEE 7th International Conference on Universal Personal Communications (ICUPC)||
5264|1998|1998 IEEE International Symposium on Electromagnetic Compatibility - EMC '98||
5289|1998|IGARSS '98 - 1998 IEEE International Geoscience and Remote Sensing Symposium||http://www.igarss.org
5290|1999|IGARSS '99 - 1999 IEEE International Geoscience and Remote Sensing Symposium||http://www.IGARSS.ORG
5291|2000|IGARSS 2000 - 2000 IEEE International Geoscience and Remote Sensing Symposium||http://www.IGARSS.org
5292|1998|1998 IEEE Antennas and Propagation Society International Symposium and URSI National Radio Science Meeting||http://seal.gatech.edu/EEED/AP-URSI98/ap-ursi98.htm
5317|2000|2000 IEEE/MTT-S International Microwave Symposium - MTT 2000||
5318|1999|ICASSP '99 - 1999 IEEE International Conference on Acoustics, Speech and Signal Processing||http://icassp99.asu.edu
5319|2001|ICASSP 2001 - 2001 IEEE International Conference on Acoustics, Speech and Signal Processing||http://www.icassp2001.org
5320|1998|1998 5th IEEE International Conference on Image Processing ICIP '98||http://mri.beckman.uiuc.edu/icip
5323|1998|1998 IEEE Vehicular Technology Conference (VTC)||http://www.ieee.ca/vtc98/index.html
5325|1999|1999 IEEE 41st Cement Industry Technical Conference||
5327|2000|2000 IEEE Power Electronics Specialists Conference - PESC 2000||http://pesc00.nuigalway.ie
5330|2004|2004 IEEE International Symposium on Electromagnetic Compatibility - EMC 2004||http://www.emc2004.org/
5333|1998|1998 Conference on Precision Electromagnetic Measurements (CPEM '98)||
5363|1998|TENCON '98 - 1998 IEEE Region 10 Conference -  Energy, Communication, Computer and Controls||
5365|1998|1998 37th IEEE Conference on Decision and Control (CDC)||http://www.lit.net/ieee/cdc98
5374|1998|1998 22nd IEEE/CPMT International Electronic Manufacturing Technology Symposium (IEMT)||
5375|1998|APCCAS '98 - 1998 Asia Pacific Conference on Circuits and Systems||
5392|1999|1999 IEEE Vehicular Technology Conference (VTC '99 Spring)||http://ieeevtc99.tamu.edu/
5403|1998|1998 IEEE International Symposium on Information Theory - ISIT||http://lids.mit.edu/ISIT98
5421|1998|1998 IEEE International Conference on Control Applications (CCA)||
5422|1998|IECON '98 - 24TH Annual Conference of IEEE Industrial Electronics||http://www.aps.rwth-aachen.de/iecon98
5423|1998|1998 IEEE International Symposium on Industrial Electronics (ISIE'98)||http://nn.uwyo.edu/ISIE98
5432|1998|1998 IEEE International Solid- State Circuits Conference - ISSCC '98||
5433|1999|1999 IEEE International Solid- State Circuits Conference - ISSCC '99||
5434|2000|2000 IEEE International Solid- State Circuits Conference - (ISSCC)||http://www.sscs.org/isscc/
5435|2001|2001 IEEE International Solid- State Circuits Conference - (ISSCC)||http://www.sscs.org/isscc/
5436|2002|2002 IEEE International Solid- State Circuits Conference - (ISSCC)||http://www.sscs.org/isscc/
5437|2004|2004 IEEE International Solid- State Circuits Conference - (ISSCC)||http://www.sscs.org/isscc/
5438|2003|2003 IEEE International Solid- State Circuits Conference - (ISSCC)||http://www.isscc.org/isscc
5440|1998|1998 International Zurich Seminar on Broadband Communications||
5444|1998|1998 International Symposium on Electrical Insulating Materials (ISEIM)||http://boss.eee.tut.jp/98iseim/index.html
5445|1998|1998 International Symposium on Gaseous Dielectrics (GDX)||http://www.eeel.nist.gov/dielectrics_vi
5446|1999|1999 10th International Symposium on Electrets ISE 10||http://www.power.inms.nrc.ca/deis/ise.htm
5447|1999|1999 IEEE 13th International Conference on Dielectric Liquids (ICDL 1999)||http://www.ele.eng.osaka-u.ac.jp/icdl
5448|1998|1998 IEEE Instrumentation & Measurement Technology Conference - IMTC '98||http://home.cray.com/~strecker/ieee.html
5450|1998|1998 International Symposium on Power Semiconductor Devices & IC's  (ISPSD)||
5451|1999|1999 12th IEEE International Pulsed Power Conference||http://www.ieee-ppc.org
5454|1998|MELECON '98 - 1998 Mediterranean Electrotechnical Conference||http://www.eng.tau.ac.il/~ajw/melecon.html
5459|1998|1998 Enterprise Networking and Computing (ENCOM-98)||http://www.comsoc.org/confo/encom/98
5460|1998|1998 International Conference Biomedical Engineering Days||http://www.boun.edu.tr/ibed98
5467|1999|1999 21st Annual International Conference of the IEEE/EMBS and Annual Fall Meeting of the BMES||http://bmes-embs99.gatech.edu
5474|1998|1998 IEEE International Conference on Robotics and Automation (ICRA)||http://www.laas.fr/icra-98
5476|1998|1998 IEEE Open Architectures & Network Programming - (OPENARCH '98)||http://comet.ctr.columbia.edu/openarch/
5479|1998|INTELEC '98 - 1998 IEEE Int'l Telecommunications Energy Conference||http://www.pels.org/intelec98.html
5487|1998|1998 IEEE Information Theory Workshop - (San Diego) (ITW)||http://code.ucsd.edu/itw
5492|1998|1998 IEEE 5th International Symposium on Spread Spectrum Techniques and Applications (ISSSTA '98)||
5494|2004|2004 IEEE/MTT-S International Microwave Symposium - MTT 2004||http://www.ims2004.org/
5507|1998|1998 IEEE-SP International Symposium on Time-Frequency and Time-Scale Analysis||http://www.pitt.edu/~tfts98
5514|1998|1998 IEEE Ultrasonics Symposium||
5516|1999|1999 IEEE CCA/CACSD Joint - Control Applications/Computer Aided Control Systems Design||
5522|1998|1998 7th Joint Magnetism and Magnetic Materials - INTERMAG Conference||http://yara.ecn.purdue.edu/~smag
5537|1999|1999 IEEE International Symposium on Electromagnetic Compatibility - EMC '99||http://www.seattleemc99.org
5539|1998|1998 IEEE 6th International Conference on Computer Vision (ICCV)||
5552|2000|2000 IEEE International Conference on Systems, Man and Cybernetics - SMC||http://mot.vuse.vanderbilt.edu/SMC/
5570|1998|1998 6th Intersociety Conference on Thermal and Thermomechanical Phenomena in Electronic Systems (I-THERM)||
5572|1999|1999 IEEE Petroleum and Chemical Industry Technical Conference (PCIC '99)||http://www.ewh.ieee.org/soc/ias/pcic/sd.html
5582|1999|1999 IEEE International Symposium on Circuits and Systems - ISCAS '99||http://iscas99.engr.ucf.edu
5590|1998|ICC '98 - 1998 IEEE International Conference on Communications||http://icc98.bellsouth-hosting.net
5595|1998|1998 IEEE International Conference on Requirements Engineering (RE '98)||
5596|1998|1998 IEEE Workshop on Empirical Evaluation Methods in Computer Vision (EEM)||
5597|1998|NOMS '98 - 1998 IEEE Network Operations and Management Symposium||http://www.comsoc.org/confs/noms/98
5603|1999|1999 6th IFIP/IEEE International Symposium on Integrated Network Management (IM'99)||http://www.comsoc.org/confs/im/99
5604|1998|1998 13th Annual Battery Conference on Applications and Advances||
5610|1998|1998 IEEE/CPMT 14th Semiconductor Thermal Measurement & Management Symposium (SEMI-THERM)||http://www.thermengr.com
5619|1998|1998 IEEE 48th Electronic Components and Technology Conference (ECTC '98)||http://www.eia.org/cg/ectccall.htm
5620|1999|1999 IEEE 49th Electronic Components and Technology Conference (ECTC '99)||http://www.ectc.net/
5621|2000|2000 IEEE 50th Electronic Components and Technology Conference (ECTC 2000)||
5622|2001|2001 IEEE 51st Electronic Components and Technology Conference (ECTC 2001)||http://www.ectc.net/
5623|1998|1998 IEEE Petroleum and Chemical Industry Technical Conference (PCIC '98)||
5630|1998|1998 IEEE International Conference on Computer Languages (ICCL '98)||http://www.math.luc.edu/iccl98/
5631|1998|1998 International Workshop on Integrated Power Packaging (IWIPP)||
5633|1999|1999 IEEE Radar Conference||http://www.ieee-boston.org/radar99
5634|1998|1998 IEEE Holm Conference on Electrical Contacts||http://www.cpmt.org/tc/tc1
5635|1998|1998 IEEE 11th International Vacuum Microelectronics Conference (IVMC)||http://www.ncsu.edu
