Type,ID,Name,Description,URL,Tags,Society Abbreviations,Conference Year,Standard Status,Standard Technical Committees,Keywords,Priority,Completed,Project Code,PubID,Date
education,CD0018,IEEE-USA Consultants Fee Survey Report: 2011,"IEEE-USA's Consultants Fee Survey Report, 2011 Edition, focuses on the compensation of U.S. IEEE members.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77110&top.title=2011+IEEE-USA+Consultants+Fee+Survey+Report,"""Surveys Committee| Alliance of IEEE Consultants Networks Coordinating Committee| United States Activities Board| Engineering - general""",IEEE-USA,,,,"IEEE-USA, career, consulting",yes,No,,,9/25/2011
education,CD0019,The US Federal Government and Innovation - A Brief History,"This book briefly outlines, for engineers and policymakers, the history of U.S. government involvement in technological innovation.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77111&top.title=The+US+Federal+Government+and+Innovation+-+A+Brief+History,"""Technological Innovation| Government Policies| History| Research and development| Innovation management| Organizational aspects| Organizations""",IEEE-USA,,,,"IEEE-USA, federal investment, innovation, research, R&D, history",yes,No,,,9/26/2011
education,CD0020,Leading and Managing Engineering and Technology - Book 2: Developing Leaders and Managers,"Book 2 of this series builds on the perspectives presented in Book 1, and examines managing and leading by: 1) managers at all levels, and 2) the Individual Professional Contributor/knowledge workers. Your success in either of these two options depends on being authentic, being yourself, and recognizing your capabilities and limitations.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77112&top.title=Leading+and+Managing+Engineering+and+Technology+-+Book+2+-+Developing+Leaders+and+Manager,"Engineering management| Management| Career development| Employee welfare| Organizations| Continuing professional development",IEEE-USA,,,,"IEEE-USA, leadership, managing",yes,No,,,10/19/2011
education,PK0001,Package: Downloadable IEEE-USA Salary & Benefits Survey Reports (2009-2012),"*Now includes 2012 Salary Survey Report* This package contains a comprehensive analysis of each IEEE-USA Salary Survey, beginning with the 2009 annual survey. Each report is available as a PDF file and contains dozens of charts and extensive narrative by IEEE-USA's expert survey analysts. The Published Report has been the premier reference for research on electrotechnology professionals' compensation for more than three decades.",https://ieeeusa.gallup.com/psitep/!stmenu_template.main?complex_id_in=2219902.2239256..2239256.cat,"Surveys Committee| Engineering - general| Career development| Data analysis| Data collection| Data communication",IEEE-USA,,,,"IEEE-USA, salary, benefits, career",yes,No,,,9/5/2012
education,CD0021,Telecommunications - History Highlights,"Telecommunications has been one of the most influential technologies in human history. As the speed and volume of the transmission of messages increased, history itself has been made and altered. Telecommunications has not only influenced history, it has also allowed us to share and participate in historical events. This book is a collection of articles written by the staff of the IEEE History Center highlighting some of the many triumphs in the world of telecommunications.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77113&top.title=Telecommunications+-+History+Highlights,"Telecommunications| Telecommunication control| Telecommunication services| Telecommunication control| Telecommunication standards| Communication systems",IEEE-USA,,,,"IEEE-USA, telecommunications, history",yes,No,,,12/7/2011
education,EM0002,2011 IEEE-USA Employment Survey,"The IEEE-USA Employment Assistance Committee has continued its interest in developing a better understanding of the problem of unemployment among older engineers, by conducting a survey of engineers who were unemployed at some point during the 2011 IEEE membership year. The first survey was conducted in 1995, with replications in 1996, 1998, 2002, 2004, 2006, 2008, 2010, and again, in 2011.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&top.title=Employment&main.id=77114&top.title=2011+IEEE-USA+EMPLOYMENT+SURVEY,"Employment| Surveys Committee| Unemployment| Statistics| Engineering - general| Unemployment",IEEE-USA,,,,"IEEE-USA, career, employment",yes,No,,,12/15/2011
education,GD0019,National Science Board - Science and Engineering Indicators 2012,"Science and Engineering Indicators (SEI) is first and foremost a volume of record comprising the major high-quality quantitative data on the U.S. and international science and engineering enterprise. SEI is factual and policy neutral. It does not offer policy options, and it does not make policy recommendations.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&top.title=Career-Development+Publications&main.id=77118&top.title=GovDoc+-+National+Science+Board+-+Science+and+Engineering+Indicators+2012,"Engineering - general| Documentation| Science - general| Data analysis| Data collection| Data communication| USA Councils",IEEE-USA,,,,"IEEE-USA, science and engineering indicators, policy, workforce",yes,No,,,2/15/2012
education,GD0020,U.S. Department of Energy Report on the First Quadrennial Technology Review,"The first annual U.S. Department of Energy Quadrennial Technology Review (QTR) establishes a framework for thinking clearly about a necessary transformation of the Nation's energy system in the following six strategies: increasing vehicle efficiency, electrifying the vehicle fleet; deploying alternative hydrocarbon fuels; increasing building and industrial efficiency; modernizing the Grid; and deploying clean electricity.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&top.title=Career-Development+Publications&main.id=77119&top.title=GovDoc+-+U.S.+Department+of+Energy+Report+on+the+First+Quadrennial+Technology+Review,"Renewable energy sources| Energy efficiency| Electricity supply industry| Power grids| Smart grids| Battery powered vehicles| Hybrid electric vehicles| Green design""
",IEEE-USA,,,,"IEEE-USA, policy, Department of Energy, DOE, technology",yes,No,,,2/15/2012
education,CD0022,Writing for Success - An Engineer’s Guide - Volume 3: The End Products of Engineering Writing,"The 3rd volume in this series looks at the characteristics of several types of written end products, such as reports, specifications, and instructions--documents with the primary mission of informing and explaining. It also explores requests and proposals--written documents with the primary goal of persuasion. The book also touches on a variety of strategies and methods for making both the informative and persuasive aspects of writing stronger, greatly increasing the chances that your documents will be successful on every level.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77115&top.title=Writing+for+Success-An+Engineers+Guide-Volume+3%3A++The+End+Products+of+Engineering+Writing,"Company reports| Writing| Training| Proposals| Professional communication| Communication effectiveness| Communication networks| Career development",IEEE-USA,,,,"IEEE-USA, writing, career, design, communication",yes,No,,,1/13/2012
education,CD0023,Leading and Managing Engineering and Technology- Book 3: Building a Culture that Develops Leaders,How do organizations develop a culture that fosters leadership? Fostering leadership becomes complex when the human element is introduced. Book 3 of this series includes: The Basics of Organizational Culture; Organizational Culture Research; Building a Leadership Culture; A Case Study: IBM’s Silverlake Project; and Parting Thoughts.,https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77120&top.title=Leading+and+Managing+Engineering+and+Technology-Book+3%3A+Building+a+Culture+that+Develops+Leaders,"Organizational aspects| Management| Organizations| Business| Employee welfare| Engineering management| Career development",IEEE-USA,,,,"IEEE-USA, leadership, managing",yes,No,,,3/14/2012
education,UH3522,2007 RFID Survey Report,"RFID IEEE Survey Report presents the results of a Spring 2007 IEEE-RFID Business Association Survey of IEEE Members worldwide on the state of RFID technology. Respondents were polled on the use, implementation, research of, and satisfaction with, RFID technology in various industries and parts of the world. Twenty-five pages of narrative, charts and tables.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.id=7711&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&top.title=RFID+IEEE+Survey+Report,"Surveys Committee| Business| Active RFID tags| Passive RFID tags| Radiofrequency identification| RFID tags",IEEE-USA,,,,"IEEE-USA, policy, RFID",yes,No,,,9/17/2007
education,CD0017,The Best of Backscatter from Today’s Engineer (Vol. 3),"This latest compilation volume covers topics that have concerned (and sometimes perplexed) engineers for years, if not decades. Among the highlighted articles are how engineers manage their careers, the future of the profession, and the role of the engineer, as seen by the general public.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77108&top.title=The+BEST+of+BACKSCATTER+from+TODAY%27S+ENGINEER+-+Volume+3,"Career development| Career policy| Career Maintenance and Development Committee| Continuing professional development| Educational activities| Professional activities",IEEE-USA,,,,"IEEE-USA, Today's Engineer, Backscatter, career, policy",yes,No,,,8/10/2011
education,CD0016,The Best of Today's Engineer: On Consulting (Vol. 2),"This publication will address such topics as your reasons for becoming a consultant; how to become a better networker; and how to incorporate the new social media into your practice. Having these topics in a centralized location will be convenient for your reference, as you build and incorporate new ideas into your practice.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77109&top.title=The+Best+of+Today%27s+Engineer+-+On+Consulting+-+Volume+2+-+2011+Update,"Social network services| Information retrieval| Social factors| Alliance of IEEE Consultants Networks Coordinating Committee| United States Activities Board",IEEE-USA,,,,"IEEE-USA, Today's Engineer, career, consulting",yes,No,,,8/11/2011
