"Type","ID","Name","Description","URL","Tags","Societies","Year","Standard Status","Technical Committees","Keywords"
"Conference",12562,"2007 3rd International Conference on Distributed Frameworks for Multimedia Applications (DFMA)",,"http://lifc.univ-fcomte.fr/~dfma07/",,"France Section,Ecole Nationale Superieure des Telecommunications - ENST,Universiti Sains Malaysia,University of Franche-Comté",2007,,,
"Conference",12563,"2007 International Workshop on Signal Processing for Wireless Communications (SPWC)",,"http://www.spwc2007.org/",,"Information Theory Society - IT,Institution of Engineering and Technology - IET,Kings College, London, United Kingdom",2007,,,
"Conference",12565,"2007 International Conference on Artificial Neural Networks (ICANN)",,"http://www.icann2007.org",,"Computational Intelligence Society - CIS,Instituto de Engenharia Biomedica",2007,,,
"Conference",505,"Topical Meeting on Excimer Lasers",,,,"Lasers and Electro-Optics Society - LEO,Optical Society of America - OSA",1983,,,
"Conference",506,"IEEE Computer Society Workshop on The Applications of Artificial Intelligence to Fault-Tolerance",,,,"Computer Society - C",1983,,,
"Conference",507,"1983 IEEE Power Engineering Society Winter Meeting",,,,"Power Engineering Society - PE",1983,,,
"Conference",509,"Topical Meeting on Optical Data Storage",,,,"Computer Society - C,Lasers and Electro-Optics Society - LEO,Air Force Office of Scientific Research - AFOSR,American Vacuum Society,Optical Society of America - OSA,Society of Photo-Optical Instrumentation Engineers - SPIE",1983,,,
"Conference",510,"SOUTHCON '83",,,,"Region 03 - Southeastern USA,Atlanta Section,Orlando Section,Electronic Representatives Association",1983,,,
"Conference",511,"1983 Workshop on Micrometer and Submicrometer Lithography",,,,"Components, Packaging and Manufacturing Technology Society - CPMT",1983,,,
"Conference",512,"1983 Measurement Science Conference",,,,"Instrumentation and Measurement Society - IM,American Society of Quality Control,California State Polytechnic University of Pomona,National Conference of Standards Laboratories,Precision Measurement Association",1983,,,
"Conference",513,"Reliability and Maintainability Symposium",,,,"Reliability Society - R",1983,,,
"Conference",514,"Electronic Manufacturing Technologies and Systems",,,,"Components, Packaging and Manufacturing Technology Society - CPMT,Society of Manufacturing Engineers",1983,,,
"Conference",515,"Workshp on Designing With VLSI",,,,"Computer Society - C",1983,,,
"Conference",516,"1983 Spring IEEE/ACM Design Automation Workshop",,,,"Computer Society - C,Association for Computing Machinery - ACM",1983,,,
"Conference",517,"WINCON '83",,,,"Aerospace and Electronic Systems Society - AES",1983,,,
"Conference",520,"5th Topical Conference on Radio Frequency Plasma Heating",,,,"Nuclear and Plasma Sciences Society - NPS,Department of Energy,University of Wisconsin",1983,,,
"Conference",521,"1983 International Solid State Circuits Conference",,,,"Solid-State Circuits Society - SSC,New York Section",1983,,,
"Conference",523,"Topical Meeting of Optical Fiber Communications (OFC '83)",,,,"Lasers and Electro-Optics Society - LEO,Optical Society of America - OSA",1983,,,
"Conference",524,"COMPCON Spring '83",,,,"Computer Society - C",1983,,,
"Conference",528,"MICRO-DELCON '83",,,,"Computer Society - C",1983,,,
"Conference",529,"Phoenix Conference on Computers and Communications",,,,"Computer Society - C,Communications Society - COM,Phoenix Section",1983,,,
"Conference",530,"Workshop on Simulation and Modeling in Decision Support Systems",,,,"Computer Society - C",1983,,,
