"Name","Abbreviation","URL","Tags"
"Communications","COM","www.comsoc.com","Bookstores"
"Social Implications of Technology (SIT)","SIT","www.something.com","Newspapers"
"Control Systems (CS)","CS",,
"Power Electronics (PEL)","PEL",,
"Consumer Electronics (CE)","CE",,"Newspapers"
"Reliability (R)","R",,
"Council on Electronic Design Automation (CEDA)","CEDA",,
"Sensors Council (SEN)","SEN",,"Newspapers,Leaflet"
"Antennas & Propagation (AP)","AP",,
"Technical Activities Board (TAB)","TAB",,"Leaflet"
"Photonics (PHO)","PHO",,
"Ultrasonics, Ferroelectrics & Frequency Control (UFFC)","UFFC",,"Newspapers"
