Tag,Sectors,Filters,Related Tags
Newspapers,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players","Advertising agencies, QR Tags"
Magazines,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players","Advertising agencies, QR Tags"
Books,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players","QR Tags"
Leaflet,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players",
Billboards,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players",
Electronic publishers,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players",
Search engine,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players","Advertising agencies, Social bookmarking engine"
Advertising agencies,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players","Search engine, Newspapers, Magazines, Content providers"
Content providers,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players","Advertising agencies"
Photobrowsers,"Entertainment, Communications, Computing & IT, Manufacturing & Devices",,
Telco operators,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players","Regulatory agency, Cell phone producers"
Infoproviders,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players","Internet Service Providers"
Delivery infrastructure,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players",
Television Service Providers,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players",
Internet Service Providers,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players","E reader, Infoproviders"
Bookstores,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players",
Bookstalls,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players",
Cell phone producers,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players","Regulatory agency,Telco operators"
E reader,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Emerging Technologies, Area 1","Internet Service Providers"
Social bookmarking engine,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players","Advertising agencies, Search engine"
QR Tags,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Emerging Technologies, Area 1","Regulatory Agency, RFID Readers provider, E reader, System integrator, Newspapers, Magazines"
RFID Tags,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Emerging Technologies, Area 1","Rfid Producers, Standard code agencies, Regulatory Agency, RFID Readers provider, E reader, System integrator"
OCR,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Emerging Technologies, Area 1","Regulatory Agency, RFID Readers provider, E reader, System integrator"
RFID Readers provider,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players","QR Tags,RFID Tags, OCR, Regulatory Agency, E reader, Cell phone producers, Telco operators"
System integrator,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players","QR Tags,RFID Tags, OCR, Regulatory Agency, E reader, Cell phone producers, Telco operators, Standard code agencies, RFID producers"
Regulatory Agency,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players","QR Tags,RFID Tags, OCR, E reader, Cell phone producers, Telco operators, Standard code agencies, RFID producers, System integrator"
RFID producers,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players","Rfid Tags, Standard code agencies, RFID Readers provider, System integrator"
Standard code agencies,"Entertainment, Communications, Computing & IT, Manufacturing & Devices","Publishing Ecosystem, Players","Rfid Tags, RFID producers"
