"Conference Name","Sector","Tags","S/C's","Description","Web Address"
"2006 First International Conference on Next-Generation Wireless Systems (ICNEWS 2006)","Communications","","","",""
"2006/2007 IEEE 21st Annual Workshop on Computer Communications (CCW)","Communications, Computing & IT","","","",""
"2007 1st Annual IEEE Systems Conference","","","","",""
"2007 1st Annual RFID Eurasia","","","","",""
"2007 1st IEEE International Conference on Self-Adaptive and Self-Organizing Systems (SASO)","Computing & IT","","","",""
"2007 1st IEEE International Conference on Self-Adaptive and Self-Organizing Systems (SASO)","","","","",""
"2007 1st IEEE International Conference on Semantic Computing (ICSC)","Entertainment, Manufacturing & Devices, Healthcare, Communications, Education, Financial Services, Defense, Computing & IT","","","",""
"2007 1st IEEE International Symposium on Wireless Vehicular Communications (WiVeC)","","","","",""
"2007 1st IEEE International Workshop and Tutorials on Microtechnologies in Electronics (MicroTech 2007)","","","","",""
"2007 1st IEEE/IFIP International Symposium on Theoretical Aspects of Software Engineering (TASE)","Education, Computing & IT","","","",""
"2007 1st International Conference on Bioinformatics and Biomedical Engineering (ICBBE)","Healthcare, Computing & IT","","","",""
"2007 1st International Symposium on Empirical Software Engineering and Measurement (ESEM)","Education, Computing & IT","","","",""
"2007 1st International Workshop on Pen-Based Learning Technologies (PLT)","Education, Computing & IT, Manufacturing & Devices","","","",""
"2007 1st Summer School on Information Technologies in Biomedicine","Healthcare, Education, Computing & IT","","","",""
"2007 2nd Annual Conference on Human-Robot Interaction (HRI)","Computing & IT","","","",""
"2007 2nd Annual Conference on Human-Robot Interaction (HRI)","","","","",""
"2007 2nd Bio-Inspired Models of Network, Information and Computing Systems (BIONETICS)","","","","",""
"2007 2nd Bio-Inspired Models of Network, Information and Computing Systems (BIONETICS)","Communications, Computing & IT","","","",""
"2007 2nd Bio-Inspired Models of Network, Information and Computing Systems (BIONETICS)","","","","",""
"2007 2nd European Conference on Smart Sensing and Context (EuroSSC 2007)","Communications","","","",""
"2007 2nd Frontiers in Biomedical Devices Conference","Computing & IT, Healthcare, Communications, Manufacturing & Devices","","","",""
"2007 2nd IEEE Conference on Industrial Electronics and Applications (ICIEA)","","","","",""
"2007 2nd IEEE Conference on Industrial Electronics and Applications (ICIEA)","","","","",""
"2007 2nd IEEE International Conference Global Software Engineering (ICGSE)","Defense, Computing & IT","","","",""
"2007 2nd IEEE International Conference on Nano/Micro Engineered and Molecular Systems (NEMS)","","","","",""
"2007 2nd IEEE International Symposium on New Frontiers in Dynamic Spectrum Access Networks (IEEE DySPAN)","Communications, Defense","","","",""
"2007 2nd IEEE International Workshop on Advances in Sensors and Interfaces (IWASI)","","","","",""
"2007 2nd IEEE International Workshop on Computational Advances in Multi-Sensor Adaptive Processing (CAMSAP)","","","","",""
"2007 2nd IEEE Workshop on Networking Technologies for Software Defined Radio Networks (SDR)","Defense, Computing & IT, Communications","","","",""
"2007 2nd IEEE/IFIP International Workshop on Broadband Convergence Networks (BcN)","Communications, Computing & IT","","","",""
"2007 2nd IEEE/IFIP International Workshop on Business-driven IT Management (BDIM)","Communications, Computing & IT","","","",""
"2007 2nd International Conference on Cognitive Radio Oriented Wireless Networks and Communications (CROWNCOM)","","","","",""
"2007 2nd International Conference on Cognitive Radio Oriented Wireless Networks and Communications (CROWNCOM)","","","","",""
"2007 2nd International Conference on Cognitive Radio Oriented Wireless Networks and Communications (CROWNCOM)","Communications","","","",""
"2007 2nd International Conference on Communication Systems Software & Middleware (COMSWARE 2007)","Communications, Computing & IT","","","",""
"2007 2nd International Conference on Digital Information Management (ICDIM)","Communications, Energy, Retail, Healthcare, Manufacturing & Devices, Agriculture, Education, Entertainment, Computing & IT, Critical Infrastructure, Transportation, Financial Services, Defense, Environment","","","",""
"2007 2nd International Conference on Memory Technology and Design (ICMTD)","","","","",""
"2007 2nd International Conference on Nano-Networks (Nano-Net)","","","","",""
"2007 2nd International Conference on Nano-Networks (Nano-Net)","Communications","","","",""
"2007 2nd International Design and Test Workshop (IDT)","","","","",""
"2007 2nd International Symposium on Wireless Pervasive Computing (ISWPC)","","","","",""
"2007 2nd International Symposium on Wireless Pervasive Computing (ISWPC)","Communications","","","",""
