"Conference Name","Sector","Tags","S/C's","Description","Web Address"
"2006 First International Conference on Next-Generation Wireless Systems (ICNEWS 2006)","Communications","","","",""
"2006/2007 IEEE 21st Annual Workshop on Computer Communications (CCW)","Communications, Computing & IT","","","",""
"2007 1st Annual IEEE Systems Conference","","","","",""
"2007 1st Annual RFID Eurasia","","","","",""
"2007 1st IEEE International Conference on Self-Adaptive and Self-Organizing Systems (SASO)","Computing & IT","","","",""
"2007 1st IEEE International Conference on Self-Adaptive and Self-Organizing Systems (SASO)","","","","",""
"2007 1st IEEE International Conference on Semantic Computing (ICSC)","Entertainment, Manufacturing & Devices, Healthcare, Communications, Education, Financial Services, Defense, Computing & IT","","","",""
"2007 1st IEEE International Symposium on Wireless Vehicular Communications (WiVeC)","","","","",""
"2007 4th IEEE/EMBS International Summer School and Symposium on Medical Devices and Biosensors (ISSS-MDBS 2007)","Healthcare, Education, Computing & IT","Physical Computing","Man & Cybernetics, Computer, Instrumentation & Measurement, Control Systems","",""
"2007 2nd IEEE International Workshop on Advances in Sensors and Interfaces (IWASI)","","","","",""
"2007 2nd IEEE International Workshop on Computational Advances in Multi-Sensor Adaptive Processing (CAMSAP)","","","","",""
"2007 2nd IEEE Workshop on Networking Technologies for Software Defined Radio Networks (SDR)","Defense, Computing & IT, Communications","","","",""
"2007 2nd IEEE/IFIP International Workshop on Broadband Convergence Networks (BcN)","Communications, Computing & IT","","","",""
"2007 2nd IEEE/IFIP International Workshop on Business-driven IT Management (BDIM)","Communications, Computing & IT","","","",""
"2007 2nd International Conference on Cognitive Radio Oriented Wireless Networks and Communications (CROWNCOM)","","","","",""
"2007 2nd International Conference on Cognitive Radio Oriented Wireless Networks and Communications (CROWNCOM)","","","","",""
"2007 2nd International Conference on Cognitive Radio Oriented Wireless Networks and Communications (CROWNCOM)","Communications","","","",""
"2007 2nd International Conference on Communication Systems Software & Middleware (COMSWARE 2007)","Communications, Computing & IT","","","",""
"2007 2nd International Conference on Digital Information Management (ICDIM)","Communications, Energy, Retail, Healthcare, Manufacturing & Devices, Agriculture, Education, Entertainment, Computing & IT, Critical Infrastructure, Transportation, Financial Services, Defense, Environment","","","",""
"2007 2nd International Conference on Memory Technology and Design (ICMTD)","","","","",""
"2007 2nd International Conference on Nano-Networks (Nano-Net)","","","","",""
"2007 2nd International Conference on Nano-Networks (Nano-Net)","Communications","","","",""
"2007 2nd International Design and Test Workshop (IDT)","","","","",""
"2007 2nd International Symposium on Wireless Pervasive Computing (ISWPC)","","","","",""
"2007 2nd International Symposium on Wireless Pervasive Computing (ISWPC)","Communications","","","",""
"2007 2nd International Workshop on Semantic Media Adaptation and Personalization (SMAP)","","","","",""
"2007 2nd International Workshop on Semantic Media Adaptation and Personalization (SMAP)","","","","",""
"2007 2nd International Workshop on Soft Computing Applications (SOFA)","","","","",""
"2007 3rd IEEE International Conference on e-Science and Grid Computing (e-Science)","Education, Computing & IT","","","",""
"2007 3rd IEEE International GHz/Gbps Test Workshop (GTW)","Education, Computing & IT, Manufacturing & Devices","","","",""
"2007 3rd IEEE Workshop on Secure Network Protocols (NPSec)","Entertainment, Manufacturing & Devices, Communications, Education, Financial Services, Critical Infrastructure, Defense, Computing & IT","","","",""
"2007 3rd IEEE/IFIP International Conference in Central Asia on Internet (ICI 2007)","Communications, Computing & IT","","","",""
"ICASSP 2007 - 2007 IEEE International Conference on Acoustics, Speech and Signal Processing","","","","",""
"ICC 2007 - 2007 IEEE International Conference on Communications","Manufacturing & Devices, Energy, Communications, Computing & IT, Healthcare, Entertainment, Transportation","","","",""
"IECON 2007 - 33rd Annual Conference of IEEE Industrial Electronics","","","","",""
"IEEE CogNet 2007 Workshop 'Towards Cognition in Wireless Networks' (CogNet @ ICC 2007)","Communications, Computing & IT","","","",""
"IEEE INFOCOM 2007 - IEEE Conference on Computer Communications","Communications, Computing & IT","","","",""
"IGARSS 2007 - 2007 IEEE International Geoscience and Remote Sensing Symposium","","","","",""
"INTELEC 2007 - 2007 International Telecommunications Energy Conference","","","","",""
"LEOS 2007 - 20th Annual Meeting of the IEEE Lasers and Electro-Optics Society","Manufacturing & Devices, Communications, Defense, Healthcare, Computing & IT, Environment","","","",""
"MILCOM 2007 - 2007 IEEE Military Communications Conference","Communications, Defense","","","",""
"NAFIPS 2007 - 2007 Annual Meeting of the North American Fuzzy Information Processing Society","","","","",""
"OCEANS 2007","","","","",""
"OCEANS 2007 - EUROPE","","","","",""
"OCEANS 2007 - EUROPE","","","","",""
"Packet Video 2007","","","","",""
"Packet Video 2007","","","","",""
"2007 The Joint International Conference on Optical Internet (COIN) and Australian Conf. on Optical Fibre Technology (ACOFT) (COIN-ACOFT 2007)","","","","",""
"2007 Third International Conference on Industrial Electronics, Technology and Automation (IETA)","Computing & IT, Manufacturing & Devices","","","",""
