"Sector","Category","Name"
"Agriculture","","Availability"
"Agriculture","","Business"
"Agriculture","","Decision Making"
"Agriculture","","Dependability"
"Agriculture","","Design"
"Agriculture","","Design Automation"
"Agriculture","","Design For Manufacture"
"Agriculture","","Design Productivity"
"Agriculture","","Design Verification"
"Agriculture","","Drive Systems"
"Agriculture","","Embedded Systems"
"Agriculture","","Endurance"
"Agriculture","","Entrepreneurship"
"Agriculture","","Ergonomics"
"Agriculture","","Fatigue"
"Agriculture","","Focus"
"Agriculture","","Hardware Design"
"Agriculture","","Hazard Analysis"
"Agriculture","","Innovation"
"Agriculture","","Integrated Circuits"
"Agriculture","","Maintainability"
"Agriculture","","Maintenance"
"Agriculture","","Managing Competencies"
"Agriculture","","Monitoring"
"Agriculture","","Noise Analysis"
"Agriculture","","Objectives"
"Agriculture","","Place And Route"
"Agriculture","","Power-Aware Computing"
"Agriculture","","Power-Aware Design"
"Agriculture","","Process Integration"
"Agriculture","","Project Management"
"Agriculture","","Reliability"
"Agriculture","","Remote Power"
"Agriculture","","Rural Power"
"Agriculture","","Sensor Devices"
"Agriculture","","Service Life"
"Agriculture","","Testing And Verification"
"Agriculture","","Timing"
"Agriculture","","Timing Analysis"
"Agriculture","","Warning Systems"
"Agriculture","","Wear"
"Agriculture","","Yield"
"Communications","","4G"
"Communications","","Adaptive Antenna Arrays"
"Communications","","ADSL"
"Communications","","Antennas"
"Communications","","Anti-Jam"
"Communications","","Automotive"
"Communications","","Autonomic Systems"
"Communications","","Availability"
"Communications","","Bandwidth Maximization"
"Communications","","Baseband"
"Communications","","Broadband"
"Communications","","Business"
"Communications","","Car-To-Car"
"Communications","","Chip/Package Co-Design"
"Communications","","Circuit Analysis"
"Communications","","Circuit Optimization"
"Communications","","Cognitive Radio"
"Communications","","Collocation"
"Communications","","Decision Making"
"Communications","","Dependability"
"Communications","","Design Automation"
"Communications","","Design Specification"
"Communications","","Design Verification"
"Communications","","Distributed Networking"
"Communications","","ECCM"
"Communications","","Electromagnetic Interference"
"Communications","","Electromagnetic Packaging"
"Communications","","Electronic Protect"
"Communications","","End-To-End QoS"
"Communications","","Endurance"
"Communications","","Energy Harvesting"
"Communications","","Energy Storage"
"Communications","","Enterprise Management"
"Communications","","Entrepreneurship"
"Communications","","EPON"
"Communications","","Ergonomics"
"Communications","","Error Correction Codes"
"Communications","","Femtocells"
"Communications","","Fiber To The Premises"
"Communications","","Fiber Wireless Integration"
"Communications","","Focus"
"Communications","","Forensics"
"Communications","","Frequency Disputes"
"Communications","","Frequency Hopping"
"Communications","","Gigabit Wireless Networks"
"Communications","","GPON"
"Communications","","Ground Fixed Radar"
"Communications","","Ground Mobile Radar"
"Communications","","Handheld Devices"
"Communications","","Handheld Television"
"Communications","","Hardware/Software Co-Design"
"Communications","","Hazards"
"Communications","","Home Networking"
"Communications","","Human-Machine Interface"
"Communications","","IMS"
"Communications","","Indoor Home Network"
"Communications","","Information Security"
"Communications","","Innovation"
"Communications","","Intelligent Systems"
"Communications","","Interoperability"
"Communications","","Intra-System Compatibility"
"Communications","","Location Based Service"
"Communications","","LTE"
"Communications","","Maintainability"
"Communications","","Management Recovery"
"Communications","","Managing Competencies"
"Communications","","MIMO"
"Communications","","Mobile Sensor Networks"
"Communications","","Mobile Television"
"Communications","","Modeling"
"Communications","","Motes"
"Communications","","Nano Technology"
"Communications","","Narrowband"
"Communications","","Network Management"
"Communications","","Network Neutrality"
"Communications","","Noise Analysis"
"Communications","","Noise Cancelling"
"Communications","","Objectives"
"Communications","","Open Systems"
"Communications","","Optical"
"Communications","","Optical Switching"
"Communications","","Personal Safety"
"Communications","","Platforms"
"Communications","","Power Saving"
"Communications","","Power-Aware Computing"
"Communications","","Power-Aware Design"
"Communications","","Powerline"
"Communications","","Precision Time Transfer To Challenged Platforms"
"Communications","","Process Integration"
"Communications","","Product And Functional Safety"
"Communications","","Product Liability"
"Communications","","Project Management"
"Communications","","QoE"
"Communications","","QoS"
"Communications","","Radio"
"Communications","","Reconfiguration"
"Communications","","Reliability"
"Communications","","Reliable Power"
"Communications","","Repair"
"Communications","","RF Compatibility"
"Communications","","RFID"
"Communications","","Satellite"
"Communications","","SDK"
"Communications","","Security"
"Communications","","Self Organization"
"Communications","","Self-Aware Systems"
"Communications","","Sensor Networks"
"Communications","","Sensors And Actuators"
"Communications","","Service Life"
"Communications","","Service Management"
"Communications","","Set Top Box"
"Communications","","Shipborne Radar"
"Communications","","Signal Processing"
"Communications","","Sociological Mobility Aware Networks"
"Communications","","Spectral Management"
"Communications","","Speech"
"Communications","","Speech Privacy"
"Communications","","Spread Spectrum"
"Communications","","System Integration"
"Communications","","System Security"
"Communications","","Testability"
"Communications","","Thermal Analysis"
"Communications","","Timing Analysis"
"Communications","","Transmitters And Receivers"
"Communications","","Trust"
"Communications","","Ultra Wideband"
"Communications","","Ultrasonic Communication"
"Communications","","Upgradeability"
"Communications","","VDSL"
"Communications","","Vulnerability"
"Communications","","Warning Systems"
"Communications","","Waveform Diversity"
"Communications","","Wearable Sensors"
"Communications","","WHN"
"Communications","","Wideband"
"Communications","","WIMAX"
"Communications","","Wireless"
"Communications","","Wireless Access"
"Communications","","Wireless Propagation Modeling"
"Communications","","Wireless Radios"
"Communications","","Wireless Television"
"Computing & Information Technology","","802 Standards"
"Computing & Information Technology","","Algorithm"
"Computing & Information Technology","","Archiving Junk"
"Computing & Information Technology","","Artificial Intelligence"
"Computing & Information Technology","","Autonomous Self-Aware Machines"
"Computing & Information Technology","","Availability"
"Computing & Information Technology","","Bioinformatics"
"Computing & Information Technology","","Biometrics"
"Computing & Information Technology","","Business"
"Computing & Information Technology","","Business Process"
"Computing & Information Technology","","Certification"
"Computing & Information Technology","","Circuit Analysis"
"Computing & Information Technology","","Class"
"Computing & Information Technology","","Class Diagram"
"Computing & Information Technology","","Cloud Computing"
"Computing & Information Technology","","CMOS"
"Computing & Information Technology","","Collaborative Systems"
"Computing & Information Technology","","Compatibility"
"Computing & Information Technology","","Compilers"
"Computing & Information Technology","","Complexity Reduction And Abstraction"
"Computing & Information Technology","","Computational Biology"
"Computing & Information Technology","","Computational Intelligence"
"Computing & Information Technology","","Computational Science (Physics/Chemistry)"
"Computing & Information Technology","","Computer Architecture"
"Computing & Information Technology","","Computer Gaming"
"Computing & Information Technology","","Computer Graphics"
"Computing & Information Technology","","Computer Networking"
"Computing & Information Technology","","Computer Vision"
"Computing & Information Technology","","Cybernetics"
"Computing & Information Technology","","Cylclic Codes"
"Computing & Information Technology","","Data Centers"
"Computing & Information Technology","","Data Engineering"
