"Periodical","Sector","Tags","S/C's","Description","Web Address"
"Aerospace and Electronic Systems Magazine","","","","",""
"Annals of the History of Computing","Computing & Information Technology, Education, Entertainment, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Financial Services, Transportation","","","",""
"Antennas and Propagation Magazine","","","","",""
"Antennas and Wireless Propagation Letters","","wireless, mobile communication, wireless radios, handheld devices","Technical Activities Board, Antennas & Propagation, Communications, Electron Devices","",""
"Circuits and Systems Magazine","","","","",""
"Communications Letters","Communications, Energy, Computing & Information Technology","","","",""
"Communications Magazine","Computing & Information Technology, Communications","wireless, mobile communication, wireless radios, handheld devices","Technical Activities Board, Antennas & Propagation, Communications, Electron Devices","",""
"Computational Intelligence Magazine","","","","",""
"Computer Architecture Letters","Communications, Critical Infrastructure, Computing & Information Technology","","","",""
"Computer Graphics and Applications Magazine","Entertainment, Computing & Information Technology, Education","","","",""
"Computer Magazine","Environment, Energy, Computing & Information Technology, Education, Healthcare, Entertainment, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Financial Services, Transportation","Physical Computing","Man & Cybernetics, Computer, Instrumentation & Measurement, Control Systems","",""
"Computing in Science & Engineering Magazine","Environment, Energy, Education, Computing & Information Technology, Healthcare, Critical Infrastructure, Defense","","","",""
"Control Systems Magazine","","","","",""
"Design & Test of Computers Magazine","Manufacturing & Devices, Critical Infrastructure, Computing & Information Technology","","","",""
"Electrical Insulation Magazine","Environment, Energy, Education, Healthcare, Manufacturing & Devices, Critical Infrastructure, Defense, Agriculture, Transportation","","","",""
"Electromechanical and Solid-State Letters","","","","",""
"Electron Device Letters","","","","",""
"Engineering in Medicine and and Biology Magazine","Communications, Healthcare, Education","","","",""
"Engineering Management Review","Energy, Agriculture, Manufacturing & Devices, Computing & Information Technology, Critical Infrastructure, Financial Services, Communications, Healthcare, Retail, Education, Entertainment, Transportation, Defense, Environment","","","",""
"Geoscience and Remote Sensing Letters","","","","",""
"Industrial Electronics Magazine","","","","",""
"Industry Applications Magazine","","","","",""
"Instrumentation and Measurement Magazine","Environment, Energy, Education, Computing & Information Technology, Healthcare, Manufacturing & Devices, Critical Infrastructure, Communications, Transportation","","","",""
"Intelligent Systems Magazine","Communications, Transportation, Computing & Information Technology, Education","","","",""
"Internet Computing Magazine","Communications, Critical Infrastructure, Computing & Information Technology, Education","","","",""
"IT Professional Magazine","Communications, Defense, Healthcare, Critical Infrastructure, Computing & Information Technology, Education","","","",""
"Journal of Electronic Materials","","","","",""
"Journal of Oceanic Engineering","","","","",""
"Journal of Quantum Electronics","","","","",""
