"Type","ID","Name","Description","URL","Tags","Sponsors > Abbreviation","Year","Standard Status","Technical Committees","Keywords","Priority","Completed","Project Code","Date"
"Conference",10000,"Test Conference - no, no","Some description","http://www.something.com/1",,"CEDA, CAS",2006,,,"Keyword1","No","No","AAA","12/31/2006"
"Conference",10001,"Test Conference - no, yes","Another description","http://www.something.com/2",,"CEDA, CAS",2006,,,"Keyword2","No","Yes","AAA",""
"Conference",10002,"Test Conference - yes, no","Some description","http://www.something.com/1",,"CEDA, CAS",2006,,,"Keyword3","Yes","No","B0123",""
"Conference",10003,"Test Conference - yes, yes","Another description","http://www.something.com/2",,"CEDA, CAS",2006,,,"Keyword4","Yes","Yes",,
"Conference",10010,"1995 Old Conference","An old conference",,,"CEDA",1995,,,"Keyword1","No","No","OLD1",""
"Conference",10011,"1996 Old Conference","An old conference",,,"CEDA",1996,,,"Keyword1","No","No","OLD1",""
"Conference",10012,"1997 Old Conference","An old conference",,,"CEDA",1997,,,"Keyword1","No","No","OLD1",""
"Conference",10013,"1998 Old Conference","An old conference",,,"CEDA",1998,,,"Keyword1","No","No","OLD1",""
"Conference",10014,"2012 Future Conference","An future conference",,,"CEDA",2012,,,"Keyword1","No","No","FUTURE",""
"Conference",10015,"2013 Future Conference","An future conference",,,"CEDA",2013,,,"Keyword1","No","No","FUTURE",""
"Conference",10016,"2014 Future Conference","An future conference",,,"CEDA",2014,,,"Keyword1","No","No","FUTURE",""
"Conference",10017,"2015 Future Conference","An future conference",,,"CEDA",2015,,,"Keyword1","No","No","FUTURE",""
"Conference",10018,"1995 Hybrid Conference","An Hybrid Conference",,,"CEDA",1995,,,"Keyword1","No","No","HYBRID",""
"Conference",10019,"1996 Hybrid Conference","An Hybrid Conference",,,"CEDA",1996,,,"Keyword1","No","No","HYBRID",""
"Conference",10020,"1997 Hybrid Conference","An Hybrid Conference",,,"CEDA",1997,,,"Keyword1","No","No","HYBRID",""
"Conference",10021,"1998 Hybrid Conference","An Hybrid Conference",,,"CEDA",1998,,,"Keyword1","No","No","HYBRID",""
"Conference",10022,"2012 Hybrid Conference","An Hybrid Conference",,,"CEDA",2012,,,"Keyword1","No","No","HYBRID",""
"Conference",10023,"2013 Hybrid Conference","An Hybrid Conference",,,"CEDA",2013,,,"Keyword1","No","No","HYBRID",""
"Conference",10024,"2014 Hybrid Conference","An Hybrid Conference",,,"CEDA",2014,,,"Keyword1","No","No","HYBRID",""
"Conference",10025,"2015 Hybrid Conference","An Hybrid Conference",,,"CEDA",2015,,,"Keyword1","No","No","HYBRID",""
