"Name","Sector","Tagged by"
"3D design","Healthcare","Council on Electronic Design Automation (CEDA)"
"3D imaging","Defense, Transportation","Lasers & Electro-Optics (LEOS)"
"3D integration","Manufacturing & Devices","Technical Activities Board (TAB)"
"3D TV","Entertainment","Technical Activities Board (TAB), Lasers & Electro-Optics (LEOS)"
"4G","Communications","Communications (COMM)"
"802 standards","Computing & IT","Computer (C)"
"AC","Energy","Computer (C), Technical Activities Board (TAB)"
"accelerated testing","Defense","Reliability (R)"
"acceptance testing","Energy, Manufacturing & Devices, Defense","Reliability (R), Technical Activities Board (TAB)"
"access","Healthcare","Technical Activities Board (TAB)"
"accreditation","Education","Technical Activities Board (TAB)"
"acoustic communications","Defense","Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"acoustics","Defense","Technical Activities Board (TAB)"
"active vibration control","Defense","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"adaptive antenna arrays","Communications","Electromagnetic Compatibility (EMC)"
"adaptive distribution","Energy","Technical Activities Board (TAB)"
"ADSL","Communications","Communications (COMM)"
"affordability","Healthcare","Technical Activities Board (TAB)"
"agency cooperation","Healthcare","Technical Activities Board (TAB)"
"aging workforce","Energy","Technical Activities Board (TAB)"
"air","Healthcare","Technical Activities Board (TAB)"
"airborne observation","Environment","Geoscience & Remote Sensing (GRS)"
"airborne radar","Defense","Technical Activities Board (TAB)"
"algorithm","Energy, Computing & IT","Technical Activities Board (TAB)"
"all weather operation","Defense","Technical Activities Board (TAB)"
"alternate fuel","Transportation","Technical Activities Board (TAB)"
"alternate propulsion","Transportation","Technical Activities Board (TAB)"
"alternative","Energy","Technical Activities Board (TAB), Power Electronics (PEL)"
"analysis","Energy, Environment","Technical Activities Board (TAB)"
"analytics","Critical Infrastructure","Technical Activities Board (TAB)"
"animation","Entertainment","Technical Activities Board (TAB)"
"antennas","Communications, Defense, Transportation","Technical Activities Board (TAB)"
"anticipating the enemy","Defense","Technical Activities Board (TAB)"
"anti-jam","Communications","Electromagnetic Compatibility (EMC)"
"applications","Energy","Technical Activities Board (TAB)"
"archiving junk","Computing & IT","Engineering Management (EM)"
"arms safing","Defense","Technical Activities Board (TAB)"
"artificial intelligence","Computing & IT, Healthcare, Education, Entertainment, Defense","Technical Activities Board (TAB)"
"artificial limbs","Healthcare","Technical Activities Board (TAB)"
"artificial organs","Healthcare","Technical Activities Board (TAB)"
"assessment","Healthcare","Technical Activities Board (TAB)"
"asset","Energy","Technical Activities Board (TAB)"
"ATC Radar","Defense","Technical Activities Board (TAB)"
"audio","Entertainment","Technical Activities Board (TAB)"
"automation","Energy, Manufacturing & Devices","Technical Activities Board (TAB)"
"automotive","Communications","Technical Activities Board (TAB)"
"autonomic systems","Communications","Technical Activities Board (TAB)"
"Autonomous","Defense","Technical Activities Board (TAB)"
"autonomous Action","Defense","Technical Activities Board (TAB)"
"autonomous self-aware machines","Computing & IT","Technical Activities Board (TAB)"
"autonomous vehicles","Transportation","Technical Activities Board (TAB), Lasers & Electro-Optics (LEOS)"
"AUV","Defense","Technical Activities Board (TAB)"
"availability","Financial Services, Manufacturing & Devices, Agriculture, Transportation, Defense, Critical Infrastructure, Computing & IT, Healthcare, Communications, Entertainment","Technical Activities Board (TAB), Reliability (R)"
"avatar","Entertainment","Technical Activities Board (TAB)"
"bandwidth maximization","Communications","Technical Activities Board (TAB)"
"banking","Financial Services","Technical Activities Board (TAB)"
"baseband","Communications","Technical Activities Board (TAB)"
"batteries","Energy, Manufacturing & Devices, Defense, Critical Infrastructure","Technical Activities Board (TAB), Power Electronics (PEL), Electron Devices (ED)"
"bioclinical monitoring","Healthcare","Technical Activities Board (TAB)"
"biodiesel conversion","Energy","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"bioengineering","Healthcare","Technical Activities Board (TAB)"
"biohazards","Environment","Technical Activities Board (TAB)"
"bioinformatics","Computing & IT, Computing & IT","Computer (C), Technical Activities Board (TAB)"
"biological impact","Environment","Technical Activities Board (TAB)"
"biological sciences","Environment","Technical Activities Board (TAB)"
"biomedical signals","Healthcare","Engineering in Medicine & Biology (EMB)"
"biomems","Healthcare","Technical Activities Board (TAB)"
"biometrics","Computing & IT, Healthcare, Defense","Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"bioremediation","Environment","Technical Activities Board (TAB)"
"biotechnology","Healthcare","Technical Activities Board (TAB)"
"blackout","Energy","Technical Activities Board (TAB)"
"body as a network","Healthcare","Technical Activities Board (TAB)"
"bottom types","Environment","Oceanic Engineering (OE)"
"bridge monitoring","Critical Infrastructure","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"broadband","Communications","Technical Activities Board (TAB)"
"bubble clouds","Environment","Oceanic Engineering (OE)"
"built-in test","Defense, Energy","Reliability (R)"
"burst illumination","Defense","Lasers & Electro-Optics (LEOS)"
"business","Education, Transportation, Financial Services, Financial Services, Energy, Healthcare, Agriculture, Critical Infrastructure, Communications, Entertainment, Manufacturing & Devices, Defense, Environment, Retail, Computing & IT","Technical Activities Board (TAB), Engineering Management (EM)"
"business process","Computing & IT","Computer (C)"
"C3I","Critical Infrastructure, Defense","Technical Activities Board (TAB)"
"cable","Energy","Technical Activities Board (TAB)"
"Cable TV","Entertainment","Technical Activities Board (TAB)"
"capacity building","Critical Infrastructure","Technical Activities Board (TAB)"
"capacity planning","Energy","Technical Activities Board (TAB)"
"capital hedge risk","Energy","Technical Activities Board (TAB)"
"carbon assessment","Environment","Geoscience & Remote Sensing (GRS)"
"carbon-free","Energy","Technical Activities Board (TAB)"
"car-to-car","Communications","Technical Activities Board (TAB)"
"casual games","Entertainment","Technical Activities Board (TAB)"
"certification","Computing & IT, Education","Technical Activities Board (TAB)"
"chemical","Energy, Manufacturing & Devices","Technical Activities Board (TAB)"
"chip/package co-design","Entertainment, Defense, Critical Infrastructure, Communications, Healthcare","Council on Electronic Design Automation (CEDA)"
"circuit","Energy, Manufacturing & Devices","Council on Electronic Design Automation (CEDA), Technical Activities Board (TAB)"
"circuit analysis","Manufacturing & Devices, Defense, Computing & IT, Critical Infrastructure, Communications","Council on Electronic Design Automation (CEDA)"
"circuit optimization","Communications","Council on Electronic Design Automation (CEDA)"
"class","Computing & IT","Computer (C)"
"class diagram","Computing & IT","Computer (C)"
"climate","Environment","Technical Activities Board (TAB)"
"climate change","Environment","Technical Activities Board (TAB)"
"cloud computing","Computing & IT","Communications (COMM)"
"CMOS","Computing & IT","Technical Activities Board (TAB)"
"coal burning","Environment","Technical Activities Board (TAB)"
"Coding and marketing technology (optical & RFID)","Retail","Technical Activities Board (TAB)"
"cognitive","Defense","Reliability (R)"
"cognitive radio","Communications, Education","Technical Activities Board (TAB), Communications (COMM)"
"Collaborative systems","Computing & IT","Technical Activities Board (TAB)"
"collision avoidance","Transportation, Transportation","Technical Activities Board (TAB), Lasers & Electro-Optics (LEOS), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"Collocation","Defense, Communications","Electromagnetic Compatibility (EMC)"
"Combat Casualty Care","Defense","Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"Command Control Communication Intelligence","Defense","Technical Activities Board (TAB)"
"commercial","Energy","Technical Activities Board (TAB)"
"commissioning","Energy","Technical Activities Board (TAB)"
"communication","Critical Infrastructure, Energy, Education, Defense","Communications (COMM), Power Electronics (PEL), Technical Activities Board (TAB)"
"communication networks","Critical Infrastructure, Education, Manufacturing & Devices","Technical Activities Board (TAB), Lasers & Electro-Optics (LEOS), Communications (COMM)"
"compatibility","Energy, Computing & IT","Engineering Management (EM), Technical Activities Board (TAB)"
"compilers","Computing & IT","Computer (C)"
"Complexity reduction and abstraction","Computing & IT","Technical Activities Board (TAB)"
"components","Energy","Technical Activities Board (TAB)"
"Comprehensive approach","Education","Engineering Management (EM)"
"computational","Energy","Technical Activities Board (TAB)"
"Computational Biology","Computing & IT","Technical Activities Board (TAB)"
"Computational Intelligence","Computing & IT","Technical Activities Board (TAB)"
"Computational science (physics/chemistry)","Computing & IT","Technical Activities Board (TAB)"
"computed radiography","Healthcare","Lasers & Electro-Optics (LEOS)"
"Computer architecture","Computing & IT","Technical Activities Board (TAB)"
"computer assisted medical decision making","Healthcare","Technical Activities Board (TAB)"
"Computer Gaming","Computing & IT","Technical Activities Board (TAB)"
"Computer graphics","Computing & IT","Technical Activities Board (TAB)"
"Computer networking","Computing & IT","Technical Activities Board (TAB)"
"Computer vision","Computing & IT","Technical Activities Board (TAB)"
"Computer Weapons","Defense","Technical Activities Board (TAB)"
"computing curricula","Education","Technical Activities Board (TAB)"
"condition assessment","Energy","Technical Activities Board (TAB)"
"condition based maintenance","Manufacturing & Devices, Transportation, Defense","Reliability (R)"
"conductors","Energy","Technical Activities Board (TAB)"
"congestion","Energy","Technical Activities Board (TAB)"
"congestion management","Transportation","Technical Activities Board (TAB)"
"connector","Energy","Technical Activities Board (TAB)"
"connexions","Education","Technical Activities Board (TAB)"
"CONOPS","Defense","Technical Activities Board (TAB)"
"conservation","Energy","Technical Activities Board (TAB)"
"construction","Energy","Technical Activities Board (TAB)"
