"Society Name","Abbreviation","URL","Sectors","Existing Tags","New Tags","New Tags list"
"Product Safety Engineering (PSE)","PSE",,"Manufacturing & Devices","product and functional safety, hazard, product liability, forensics, product safety, hazard analysis, Safety Critical, Safety",,
"Product Safety Engineering (PSE)","PSE",,"Healthcare","product and functional safety, hazard, product liability, forensics, product safety, hazard analysis, Safety Critical, Safety",,
"Product Safety Engineering (PSE)","PSE",,"Entertainment","product and functional safety, hazard, forensics, product liability, product safety, hazard analysis, Safety Critical, Safety",,
"Product Safety Engineering (PSE)","PSE",,"Communications","product and functional safety, hazard, product liability, forensics, product safety, hazard analysis, Safety Critical, Safety",,
"Product Safety Engineering (PSE)","PSE",,"Computing & IT","product and functional safety, hazard, product liability, forensics, product safety, hazard anlysis, Safety Critical, Safety",,
"Sensors Council (SEN)","SEN",,"Education",,"sensor phenomena",
"Control Systems (CS)","CS",,"Defense",,,
"Control Systems (CS)","CS",,"Computing & IT",,,
"Social Implications of Technology (SIT)","SIT",,"Computing & IT",,"ICT,user studies,e-waste,obsolescence",
"Social Implications of Technology (SIT)","SIT",,"Agriculture",,"mobile phones, cell phones,",
"Social Implications of Technology (SIT)","SIT",,"Communications",,"spectrum allocation,deregulation,government policy,laws,legal framework,history",
"Social Implications of Technology (SIT)","SIT",,"Communications",,"economic impact,disposal,electronic waste,personal privacy,lifestyle,law enforcement",
"Social Implications of Technology (SIT)","SIT",,"Communications",,"developing countries,social networking,user interface,disabled,visually impaired,deaf, hearing impaired",
"Control Systems (CS)","CS",,"Defense",,"Aerospace Controls",
"Power Electronics (PEL)","PEL",,"Transportation",,"electric vehicles, hybrid vehicles, plug-ing hybrids, automotive accessories, engine controls, locomotive drives, light rail transit, electric ship, on-board power, MAGLEV, electric scooter, electric bicycles, golf carts, segway,",
"Power Electronics (PEL)","PEL",,"Retail",,"lighting controls, surge protection, UPS, appliances, power supply blocks, led lighting",
"Power Electronics (PEL)","PEL",,"Manufacturing & Devices",,"power semiconductors, industrial drives, power quality, sag correction, active filters, voltage regulators, power factor correction, process control, soft starters, factory automation,",
"Power Electronics (PEL)","PEL",,"Healthcare",,"MRI, X-ray, implantable power, robotics, dc power supplies, electrical safety and protection, standy-by power, UPS, static transfer switches, electronic surgical instruments,",
"Power Electronics (PEL)","PEL",,"Financial Services",,"energy efficiency, carbon credits,",
"Power Electronics (PEL)","PEL",,"Environment",,"plug-in hybrid vehicles, electric vehicles, energy efficiency, electric locomotives, wind power, solar power, wave power",
"Power Electronics (PEL)","PEL",,"Entertainment",,"display power, plasma tv power supplies, audio amplifiers, class d, power supplies, energy harvesting, contactless power delivery, cordless power, battery management, battery chargers, energy packs, lighting controls, led projectors, led lighting, compact flourescents,",
"Power Electronics (PEL)","PEL",,"Education",,"sustainable energy, renewable energy, energy efficiency",
"Power Electronics (PEL)","PEL",,"Defense",,"ship propulsion, hybrid tanks, hybrid vehicles, unmanned vehicles, UAVs, torpedo propulsion, light weight power packs, mobile power, aerospace power, fly-by-wire, 400Hz power, VSCF drives, solar power",
"Power Electronics (PEL)","PEL",,"Critical Infrastructure",,"uninterruptible power supplies, standy-by power, fuel cell converters, emergency power, emergency lighting",
"Power Electronics (PEL)","PEL",,"Computing & IT",,"uninterruptible power supplies, EMI",
