"Name","Abbreviation","URL","Tags"
"Aerospace & Electronics Systems","AES","",""
"Antennas & Propagation","AP","","animal tracking, wireless networking, adhoc wireless networks, reconfigurable antennas, multifunction antennas, wearable antennas, wearable radios, implantable electromagnetic devices, retinal prostheses, terahertz imaging, millimeter wave imaging, microwave imaging, reliable communications, secure communications, interoperable communications, interoperability, smart antennas, smart highways, RFID, automotive radar, phased arrays, reconfigurable antennas, software defined radio, synthetic aperture radar, phased arrays, synthetic aperture radar, antenna miniaturization, beamforming, wearable antennas, beamforming, satellite communications, conformal antennas, unmanned aerial vehicles, antenna packaging, satellite arrays, miniaturized antennas, phased arrays, reconfigurable antennas, multiband antennas, ultrawideband antennas, wireless networking, antenna packaging interaction, wearable antennas, portable devices, software defined radio, multiband antennas, antenna packaging, reconfigurable antennas, smart antennas, multiband antennas, secure wireless transactions, RFID, RFID, antenna packaging, reconfigurable hardware, reconfigurable antennas, RFID, smart antennas, software defined radio, wave propagation, wireless spectrum, atmospheric sensing, electromagnetics, antennas, antenna demonstrations, RFID, bioremediation, remote sensing, Airborne Radar, cognitive radio, medical microwaves, power aware design, wireless sensing, rural healthcare, electromagnetic interference, Handheld Radar, distributed monitoring systems, distributed networking, ATC Radar, weather monitoring, Space Radar, Target Avoidance Radar, wireless antennas, biotechnology, 3-D imaging, satellite observation, Secure Communications, Sensing, structural health monitoring, bridge monitoring, adaptive antenna arrays, wireless sensors, high resolution imaging, medical devices, biological impact, weather prediction, electromagnetic imaging, All Weather Operation, Wireless Propagation Modeling, Ground Fixed Radar, GPS, wireless propagation and impairments, Shipborne Radar, Ground Mobile Radar, wireless radios, Satellite TV, electromagnetic packaging, wearable sensors, mobile sensor networks, remote power, bioengineering, Antennas, antennas, Coding and marketing technology (optical & RFID), satellite, energy efficiency solutions, wireless control and communication, sensing and vehicle communications, 3D imaging, Security & privacy, wireless propagation modeling, implantable devices"
"Biometrics Council","BMC","",""
"Broadcast Technology","BT","","Mobile Television, Handheld Television"
"Circuits & Systems","CAS","","Power Management, Power Electronics, Converters, PV Inverter, DLP, Low-Power, MRI, Camera, Prosthesis, Measurement, Telemetry, RFID"
"Communications","COM","","radio over fiber, OFDM, Wi-Fi, multimedia over fiber, fiber-wireless, interception, confidentiality, Internet, synchronization, security, cryptography, CRM, IP Network, scheduling, performance evaluation, modeling, integration, interoperability, recovery, duplication, DSP, Coding, Synchronization, Channel, Internet, IPTV, patent, service protection, fairness, utility computing, Optical Switching, SDK, IMS, WHN, fiber wireless integration, cloud computing, ADSL, Femtocells, 4G, optical grid, Network Management, mobile communication, Service Management, network management, sociological mobility aware networks, Motes, QoS, LTE, mobile sensor networks, QoE, Gigabit Wireless Networks, Enterprise Management, location based service, Wireless Access, Security & privacy, communication, system security, Networking, Communications, wireless, Secure Communications, RFID, broadband, network management, performance, communication systems, radio, cognitive radio, Intelligent Systems, modeling, fiber optics, wireless radios, fiber wireless integration, Sensor Networks"
"Components, Packaging & Manufacturing Tech","CPMT","",""
"Computational Intelligence","CI","","optimal ramp control, ramp control, traffic control, optimal traffic control, logistics, bin packing, adaptive vehicle systems, smart cars, optimal wing design, evolutionary design, fuzzy control, neural control"
"Computer","C","","energy flow simulation, FMEA, FMECA, hardware in the loop, HSE, knowledge, Design Automation, Environmental Assessment, Intelligent Agents, Information Assurance, Learning Technology, Local Area Networks, 802 Standards, Microprocessor, Portable Applications, Simulation Interoperability, Systems Engineering, Software Engineering, Storage Systems, Test Technology, Game Technology, nano tech, Web Site Design, state machine, state diagram, UML, Unified Modeling Language, object-oriented design, object-oriented programming, compilers, dataflow, ethernet, computer bus, floating point, firewire, ethernet, software requirements, software design, validation, measurements, metrics, conformance, performance metrics, software patterns, class, class diagram, entity, entity relationship attribute diagram, software architecture, domain engineering, spectrum agile radio, pattern recognition, video image processing, image processing, surveillance, face recognition, biometrics, pattern analysis, document image analysis, OCR, graphics recognition, gait analysis, performance evaluation, building simulation, software process, business process, software life cycle, web design, systems of systems, pattern analysis, machine intelligence, cybernetics, information theory, software testing, user centered design, data structures, systems analysis, lighting control, Knowledge Management, Haptics, History, Testing and verification, tools, PLCs, safety critical, sensors and actuators, formal methods, Service Management, Semantic Web, Bioinformatics, information security, Web services, optical sensors, RFID, Wireless Access, testing, sensor devices, hazard anlysis, Standards, reliability modeling, design specification, cognitive radio, product and functional safety, Haptics (wearable computing), wireless control and communication, AC, Security & privacy, Systems engineering, Software Engineering, data, system security"
"Consumer Electronics","CE","","cmos"
"Control Systems","CS","","Aerospace Controls, Automotive Control, wireless control and communication, industrial process control, network control, automotive control, Automotive control, aerospace control, Aerospace Control, Testing and verification, Design verification, Power-aware computing, Timing, Design automation, Embedded Systems, automotive, Wireless Access, Reliability, wireless control and communication, active vibration control, Standards, Design for manufacture, Hardware/software co-design, design, Logic synthesis"
"Council on Electronic Design Automation","CEDA","","System-level Design, System-on-Chip, Scheduling, intelectual property, Application-speciic processors, Networks on Chip, Embedded Software, hardware emulation, Modeling languages, High-level Synthesis, Logic synthesis, circuit simulation, Physical Design, Manufacturability, Signal Integrity, Analog/Mixed-signal, FPGA, reconfigurable computing, prototyping, Emerging Design Technologies, Reconfigurable Hardware, real-time, shapes checking, design specificaton, timing analysis, chip/package co-design, power aware design, circuit optimization, Design specification, thermal analysis, design specificaiotn, high performance design, design specification, energy-aware design, noise anlysis, formal methods, Power-aware design, noise analysis, floorplanning, energy aware design, power-aware design, place and route, 3D design, circuit analysis, Embedded Systems, Testing and verification, Hardware/software co-design, education, place and route, yield, Timing, Sensor Networks, Design productivity, algorithm, Power-aware computing, circuit, low power devices, Design specification, thermal analysis, Embedded Computing, Hardware design, Design for manufacture, high performance design, Design verification, energy-aware design, Power-aware design, Operating systems, test, Fault-tolerant computing, design, reconfiguration, circuit analysis, Simulation, Integrated Circuits, Reliability, timing analysis, Design automation, circuit optimization, Logic synthesis"
