"Type","ID","Name","Description","URL","Tags","Sponsors » Abbreviation","Year","Standard Status","Technical Committees","Keywords","Priority"
"Conference",6238,"2006 43rd ACM/IEEE Design Automation Conference (DAC)",,"http://www.dac.com",,"CEDA, , CAS, ",2006,,,,"No"
"Conference",8250,"2006 IEEE Industry Applications Society Annual Meeting",,"http://www.ieee.org/ias2006",,", IA",2006,,,,"No"
"Conference",9362,"2006 IEEE International Symposium on Electromagnetic Compatibility - EMC 2006",,"http://www.emc2006.org/",,"EMC, ",2006,,,,"No"
"Conference",9686,"SOUTHEASTCON 2006",,"http://www.southeastcon.com/",,", Southeastern USA",2006,,,,"No"
"Conference",9926,"ICC 2006 - 2006 IEEE International Conference on Communications",,"http://www.ieee-icc.org/2006",,", COM",2006,,,,"No"
"Conference",9936,"GLOBECOM 2006 - 2006 IEEE Global Telecommunications Conference",,"http://www.ieee-globecom.org/2006",,", , COM",2006,,,,"No"
"Conference",9976,"2006 IEEE AUTOTESTCON",,"http://www.autotestcon.com/",,"AES, , IM, ",2006,,,,"No"
"Conference",9998,"2006 International Symposium on Turbo Codes and Related Topics in connection with International ITG Conference on Source and Channel Coding",,"http://www.turbo-coding-2006.org/",,"Th, , IT, , , COM",2006,,,,"No"
"Conference",10016,"2006 IEEE International Frequency Control Symposium",,"http://www.ieee-uffc.org/fcmain.asp",,"UFFC, ",2006,,,,"No"
"Conference",10047,"2006 IEEE International Solid- State Circuits Conference - (ISSCC)",,"http://www.isscc.org/isscc/",,", , SSC, ",2006,,,,"No"
"Conference",10086,"2006 45th IEEE Conference on Decision and Control (CDC)",,"http://www.ieeecss.org/CAB/conferences/cdc2006/index.php",,"SICE, CS, , EUCA",2006,,,,"No"
"Conference",10094,"2006 IEEE 4th World Conference on Photovoltaic Energy Conversion - WCPEC (A Joint Conference of PVSC, PVSEC & PSEC)",,"http://www.wcpec.org",,"ED, , ",2006,,,,"No"
"Conference",10095,"2006 IEEE Ultrasonics Symposium",,"http://www.ieee-uffc.org",,"UFFC, ",2006,,,,"No"
"Conference",10184,"2006 Asia-Pacific Microwave Photonics Conference (APMP)",,"http://www.i-leos.org/",,", , , LEO",2006,,,,"No"
"Conference",10187,"2006 13th Saint Petersburg International Conference on Integrated Navigation Systems",,"http://www.elektropribor.spb.ru/",,"AIAA, AES, , ",2006,,,,"No"
"Conference",10221,"2006 American Control Conference - ACC 2006 (Silver Anniversary)",,"http://www.a2c2.org/conferences/acc2006/index.htm",,", CS",2006,,,,"No"
"Conference",10249,"2006 IEEE Frontiers in Education Conference (FIE)",,"http://fie.engrng.pitt.edu/",,", C, E",2006,,,,"No"
"Conference",10317,"2006 IEEE Radar Conference",,"http://www.radar06.org",,", AES, ",2006,,,,"No"
"Conference",10357,"2006 IEEE International Test Conference (ITC)",,"http://www.itctestweek.org/",,", C",2006,,,,"No"
"Conference",10425,"2006 10th IEEE Intersociety Conference on Thermal and Thermomechanical Phenomena in Electronic Systems (ITherm)",,"http://www.itherm.org",,", , CPMT, ASME",2006,,,,"No"
"Conference",10428,"2006 Canadian Conference on Electrical and Computer Engineering - CCECE",,"http://www.ieee.ca/ccece06/welcome.html",,"Canada, ",2006,,,,"No"
"Conference",10454,"2006 World Congress on Medical Physics and Biomedical Engineering (WC 2006)",,"http://www.wc2006-seoul.org/",,"EMB, , ",2006,,,,"No"
"Conference",10499,"2006 IEEE Sensor Array and Multichannel Signal Processing Workshop (SAM)",,"http://www.sam2006.org",,", SP",2006,,,,"No"
"Conference",10534,"2006 IEEE Instrumentation & Measurement Technology Conference - IMTC 2006",,"http://ewh.ieee.org/soc/im/imtc/imtc2006/index.html",,", , IM",2006,,,,"No"
"Conference",10552,"2006 4th IEEE International Conference on Industrial Informatics (INDIN)",,"http://www.simtech.a-star.edu.sg/indin2006/",,", , , IE, , ",2006,,,,"No"
"Conference",10553,"2006 IEEE International Conference on Mechatronics (ICM)",,"http://www.bmf.hu/conferences/icm2006/",,"IE, ",2006,,,,"No"
"Conference",10579,"IECON 2006 - 32nd Annual Conference of IEEE Industrial Electronics",,"http://www.iecon06.iut-amiens.fr",,", IE",2006,,,,"No"
"Conference",10591,"INSUCON 2006 - 2006 International Electrical Insulation Conference",,"http://www.insucon.org",,", DEI",2006,,,,"No"
"Conference",10593,"2006 IEEE International Workshop on Antenna Technology Small Antennas and Novel Metamaterials (iWAT)",,"http://research.ihost.com/iwat2006",,", , VT, , , MTT, AP, ",2006,,,,"No"
"Conference",10612,"2006 IEEE Petroleum and Chemical Industry Technical Conference (PCIC 2006)",,"http://www.ieee-pcic.org",,"IA, , ",2006,,,,"No"
"Conference",10636,"2006 International Symposium on Electromagnetic Compatibility - EMC EUROPE",,"http://www.emceurope2006.org",,"EMC, , URSI",2006,,,,"No"
"Conference",10653,"2006 IEEE/IAS Industrial & Commercial Power Systems Technical Conference (I&CPS)",,"http://ewh.ieee.org/r4/se_michigan/icps/",,"IA, ",2006,,,,"No"
"Conference",10661,"ESMO 2006 - 2006 IEEE 11th International Conference on Transmission & Distribution Construction, Operation and Live-Line Maintenance",,"http://www.esmoconference.com",,", PE, ",2006,,,,"No"
"Conference",10671,"2006 IEEE 15th Conference on Electrical Performance of Electronic Packaging (EPEP)",,"http://www.epep.org",,"CPMT, , MTT",2006,,,,"No"
"Conference",10703,"2006 IEEE International Conference on Megagauss Magnetic Field Generation and Related Topics (MEGAGAUSS)",,"http://www.megagauss.org",,", NPS",2006,,,,"No"
"Conference",10706,"2006 SC - International Conference for High Performance Computing, Networking, Storage and Analysis",,"http://sc06.supercomp.org/",,"C, ",2006,,,,"No"
"Conference",10709,"2006 IEEE/ACM International Conference on Computer-Aided Design (ICCAD)",,"http://www.iccad.com/future.html",,"CEDA, , , CAS, ED, C, SSC",2006,,,,"No"
"Conference",10715,"2006 IEEE EIC Climate Change Conference (EIC CCC)",,"http://www.ccc2006.ca/",,", , , , , Canada, , , ",2006,,,,"No"
"Conference",10736,"2006 IEEE Meeting Series I",,"http://www.ieee.org/services/mps/index.html",,,2006,,,,"No"
"Conference",10737,"2006 IEEE Meeting Series II",,"http://www.ieee.org/services/mps/index.html",,,2006,,,,"No"
"Conference",10738,"2006 IEEE Meeting Series III",,"http://www.ieee.org/services/mps/index.html",,,2006,,,,"No"
"Conference",10776,"2006 IEEE International Workshop on Horizontal Interactive Human Computer System (TABLETOP)",,"http://www.computer.org",,", C",2006,,,,"No"
"Conference",10782,"2006 IEEE/ION Position, Location and Navigation Symposium - PLANS 2006",,"http://www.plans2006.org/",,", AES",2006,,,,"No"
"Conference",10786,"2006 IEEE Southwest Symposium on Image Analysis & Interpretation (SSIAI)",,"http://www.cet.nau.edu/Research/SSIAI/",,", C, ",2006,,,,"No"
"Conference",10789,"2006 1st IEEE Conference on Industrial Electronics and Applications (ICIEA)",,"http://ewh.ieee.org/r10/singapore/ie/ICIEA2006.html",,", , , , IE",2006,,,,"No"
"Conference",10790,"2006 IEEE Conference on Emerging Technologies - Nanoelectronics (NanoSingapore)",,"http://www.ieeecet.org/",,"EMB, , ED, , ",2006,,,,"No"
"Conference",10800,"2006 International Conference on Condition Monitoring and Diagnosis (CMD)",,"http://www.cmd2006.com/",,", , , DEI, PE, ",2006,,,,"No"
"Conference",10814,"2006 17th International Zurich Symposium & Exhibition on Electromagnetic Compatibility",,"http://www.emc-zurich.org",,"EMC, , , , , ",2006,,,,"No"
"Conference",10839,"2006 Symbolic Methods and Applications to Circuit Design (SMACD)",,"http://www.smacd06.unifi.it/",,"CAS, , ",2006,,,,"No"
"Conference",10862,"2006 3rd International IEEE Conference Intelligent Systems (IS)",,"http://ieeeis06.wmin.ac.uk/",,"SMC, , IM, Harrow School of Computer  Science, ",2006,,,,"No"
"Conference",10869,"2006 12th International Power Electronics and Motion Control Conference (EPE/PEMC 2006)",,"http://www.ro.feri.uni-mb.si/epe-pemc2006/",,", IE, , PEL",2006,,,,"No"
"Conference",10873,"2006 IEEE International Conference on Industrial Technology - (ICIT)",,"http://www.iitkgp.ac.in/icit2006/",,", SICE, , Bombay, IE",2006,,,,"No"
"Conference",10886,"OCEANS 2006 - ASIA PACIFIC",,"http://www.oceansasia2006.org/",,"OE, ",2006,,,,"No"
"Conference",10889,"2006 1st International Symposium on Wireless Pervasive Computing (ISWPC)",,"http://www.iswpc.org/2006/",,", , COM",2006,,,,"No"
"Conference",10894,"2006 38th Southeastern Symposium on Systems Theory (SSST 2006)",,"http://www.tntech.edu/ssst/",,"Dept of Electrical& Computer Engi, CS, , Center for        Manufacturing R, Center for Energy Systems Researc",2006,,,,"No"
"Conference",10897,"2006 International Waveform Diversity & Design Conference",,"http://www.waveformdiversity.org",,"EMC, , , DARPA, AFRL, AES, GRS, AP, SP",2006,,,,"No"
"Conference",10908,"2006 25th International Conference on Microelectronics (MIEL 2006)",,"http://europa.elfak.ni.ac.yu/miel/",,", ED, , , , ",2006,,,,"No"
"Conference",10928,"2006 IEEE Antennas and Propagation Society International Symposium and URSI National Radio Science Meeting",,"http://www.ece.unm.edu/apsursi2006/",,", AP, ",2006,,,,"No"
"Conference",10930,"2006 1st International Conference on Communication Systems Software & Middleware (COMSWARE 2006)",,"http://www.comsware.org/",,", ICST, , COM",2006,,,,"No"
"Conference",10942,"2006 IEEE International Workshop on Electronic Design, Test and Application (DELTA)",,"http://www.monash.edu.my/events/",,", , C",2006,,,,"No"
"Conference",10943,"2006 IEEE International Conference on Pervasive Computing and Communications (PerCom)",,"http://www.percom.org/",,", C, ",2006,,,,"No"
"Conference",10954,"2006 13th International Symposium on Physical & Failure Analysis of ICs (IPFA 2006)",,"http://ewh.ieee.org/reg/10/ipfa/html/2006/",,"ED, , , R",2006,,,,"No"
"Conference",10955,"2006 International Symposium on Power Semiconductor Devices & IC's (ISPSD)",,"http://www.ispsd2006.it",,"ED, IEEJ, ",2006,,,,"No"
"Conference",10961,"2006 International Conference on Microwaves, Radar & Wireless Communications (MIKON 2006)",,"http://www.mikon-2006.pl",,", , ED, AES, , , , , ",2006,,,,"No"
"Conference",10969,"2006 IEEE International Conference on Engineering of Intelligent Systems (ICEIS)",,"http://www.jinnahresearch.net/iceis2006/",,"PTCL, HEC, Asia and Pacific, , , IE, , ",2006,,,,"No"
"Conference",10970,"2006 IEEE Region 5 Conference",,"http://www.2006ieeer5conference.com/",,", , Southwestern USA",2006,,,,"No"
"Conference",10971,"2006 International Conference on Emerging Trends in Information and Communication Security (ETRICS)",,"http://www.etrics.org/",,", , ACM, , ",2006,,,,"No"
"Conference",10975,"2006 6th IFAC Symposium on Modelling and Control in Biomedical Systems (MCBMS)",,"http://www.univ-reims.fr/mcbms06",,"EMB, , , Technical Committee on Biomedical System on     Modeling and Co",2006,,,,"No"
"Conference",10983,"2006 1st International Symposium on Systems and Control in Aerospace and Astronautics (ISSCAA)",,"http://isscaa.hit.edu.cn",,"AIAA, , AES, IE, ",2006,,,,"No"
"Conference",10985,"2006 IEEE International Carnahan Conference on Security Technology (ICCST)",,"http://www.carnahanconference.com/",,"AES, ",2006,,,,"No"
"Conference",10992,"2006 1st Annual Conference on Human-Robot Interaction (HRI)",,"http://hri2006.org/",,"SMC, , RA, ACM, ",2006,,,,"No"
"Conference",10993,"2006 IFAC Symposium on Information Control Problems in Manufacturing (INCOM)",,"http://www.emse.fr/incom2006/",,"RA, IE, IFIP, IFAC, ",2006,,,,"No"
"Conference",11015,"2006 International Workshop on Dielectric Thin Films for Future ULSI Devices: Science and Technology (IWDTF) (Formerly IWGI)",,"http://home.hiroshima-u.ac.jp/iwdtf/",,", JSAP, ED",2006,,,,"No"
"Conference",11023,"2006 14th IEEE International Requirements Engineering Conference (RE 2006)",,"http://www.re06.org/",,"C, , IFIP",2006,,,,"No"
"Conference",11025,"2006 IEEE Applied Power Electronics Conference and Exposition - APEC 2006 (Location Change)",,"http://www.apec-conf.org/2006/APEC06_Home_Page.html",,"IA, , PEL",2006,,,,"No"
