"Name","Sectors","Filters","Related Tags"
"3D design","Healthcare","",""
"3D imaging","Defense, Healthcare, Transportation","",""
"3D integration","Manufacturing & Devices","",""
"3D memories","Manufacturing & Devices","",""
"3D TV","Entertainment","",""
"3D-integration packaging technologies","Manufacturing & Devices","",""
"4G","Communications","",""
"48V converters","Communications","",""
"60GHz)","Manufacturing & Devices, Communications","",""
"400Hz power","Defense","",""
"802 Standards","Computing & IT","",""
"AC","Energy","",""
"accelerated testing","Defense","",""
"Acceleration measurement","Manufacturing & Devices","",""
"accelerometers","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Critical Infrastructure, Energy, Education, Communications, Environment, Entertainment, Transportation, Defense","",""
"acceptance testing","Energy, Manufacturing & Devices, Defense","",""
"access","Healthcare","",""
"accessibility","Computing & IT","",""
"Accident Free Driving","Transportation","",""
"Accreditation","Education","",""
"Acoustic applications","Manufacturing & Devices","",""
"Acoustic arrays","Manufacturing & Devices","",""
"Acoustic Communications","Defense","",""
"Acoustic imaging","Manufacturing & Devices","",""
"Acoustic measurements","Manufacturing & Devices","",""
"Acoustic receivers","Manufacturing & Devices","",""
"Acoustic resonators","Manufacturing & Devices","",""
"Acoustic signal processing","Manufacturing & Devices","",""
"Acoustic surface-wave delay lines","Manufacturing & Devices","",""
"Acoustic surface-wave filters","Manufacturing & Devices","",""
"acoustic velocity sensors","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"Acoustic wave devices","Manufacturing & Devices","",""
"Acoustics","Manufacturing & Devices, Defense","",""
"Acoustooptic devices","Manufacturing & Devices","",""
"Acoustooptic scanning","Manufacturing & Devices","",""
"Active antennas","Manufacturing & Devices","",""
"Active circuits","Manufacturing & Devices","",""
"Active distributed networks Access control","Manufacturing & Devices","",""
"active filter","Energy","",""
"active filters","Manufacturing & Devices, Energy","",""
"Active filters and other active networks","Manufacturing & Devices","",""
"Active inductor","Manufacturing & Devices","",""
"Active matrix","Manufacturing & Devices","",""
"Active mixers","Manufacturing & Devices","",""
"Active network elements","Manufacturing & Devices","",""
"Active networks","Manufacturing & Devices","",""
"active parallel energy storage","Manufacturing & Devices","",""
"Active pixel sensor (APS)","Manufacturing & Devices","",""
"Active power management","Manufacturing & Devices","",""
"Active RC networks","Manufacturing & Devices","",""
"active suspensions","Transportation","",""
"active vibration control","Defense, Computing & IT","",""
"Active-filter building blocks","Manufacturing & Devices","",""
"Actuating and final control devices","Manufacturing & Devices","",""
"actuators","Manufacturing & Devices","",""
"Actuators","Manufacturing & Devices","",""
"AC-DC power converters","Manufacturing & Devices","",""
"Ad Hoc Networks","Communications","",""
"Ad hoc networks","Manufacturing & Devices","",""
"adaptive antenna arrays","Critical Infrastructure, Manufacturing & Devices, Computing & IT, Communications, Entertainment, Defense","",""
"Adaptive antenna arrays","Manufacturing & Devices","",""
"Adaptive arrays","Manufacturing & Devices","",""
"Adaptive bandwidth PLL","Manufacturing & Devices","",""
"adaptive body bias circuits","Manufacturing & Devices","",""
"Adaptive circuits","Manufacturing & Devices","",""
"Adaptive control","Manufacturing & Devices","",""
"Adaptive decision systems","Manufacturing & Devices","",""
"adaptive distribution","Energy","",""
"Adaptive equalizers","Manufacturing & Devices","",""
"adaptive filtering","Defense","",""
"adaptive filters","Defense","",""
"Adaptive filters","Manufacturing & Devices","",""
"Adaptive power-supply system","Manufacturing & Devices","",""
"Adaptive signal processing","Manufacturing & Devices","",""
"Adaptive system theory","Manufacturing & Devices","",""
"Adaptive systems","Manufacturing & Devices","",""
"adaptive vehicle systems","Transportation","",""
"adaptive voltage","Manufacturing & Devices","",""
"Adders","Manufacturing & Devices","",""
"Addition Adaptive coding","Manufacturing & Devices","",""
"Add-on boards","Manufacturing & Devices","",""
"adhoc wireless networks","Entertainment","",""
"Adiabatic circuit","Manufacturing & Devices","",""
"Adiabatic switching","Manufacturing & Devices","",""
"Adjacent channel interference","Manufacturing & Devices","",""
"Adjoint networks","Manufacturing & Devices","",""
"Admittance Adaptive modulation","Manufacturing & Devices","",""
"Admittance measurement","Manufacturing & Devices","",""
"ADSL","Communications, Manufacturing & Devices","",""
"aeronautical and space sensor systems","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"aerospace control","Transportation","",""
"Aerospace control","Transportation","",""
"Aerospace Control","Transportation, Defense","",""
"Aerospace Controls","Defense","",""
"Aerospace instrumentation","Transportation","",""
"aerospace power","Defense","",""
"affordability","Healthcare","",""
"AGC","Manufacturing & Devices, Communications","",""
"AGC (automatic gain control)","Manufacturing & Devices","",""
"agency cooperation","Healthcare","",""
"Aging","Manufacturing & Devices","",""
"aging workforce","Energy","",""
"AI","Education, Entertainment","",""
"air","Healthcare","",""
"Air pollution control","Environment","",""
"airborne observation","Environment","",""
"Airborne Radar","Defense, Transportation","",""
"Aircraft computers","Transportation","",""
"alarm and security sensor systems","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"AlGaAs/GaAs HBT","Manufacturing & Devices","",""
"AlGaAs/GaAs-HEMT IC's Aluminum","Manufacturing & Devices","",""
"algorithm","Energy, Computing & IT","",""
"Algorithm theory","Manufacturing & Devices","",""
"All Weather Operation","Agriculture, Defense","",""
"All-pass circuits","Manufacturing & Devices","",""
"All-pass networks","Manufacturing & Devices","",""
"Alpha-particle effects","Manufacturing & Devices","",""
"alternate fuel","Transportation","",""
"alternate propulsion","Transportation","",""
"alternative","Energy","",""
"alternative energy interface","Energy","",""
"altimeters","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"Aluminum compounds","Manufacturing & Devices","",""
"Aluminum integrated circuit conductors","Manufacturing & Devices","",""
"Aluminum materials/devices","Manufacturing & Devices","",""
"Aluminum oxide films","Manufacturing & Devices","",""
"AM","Manufacturing & Devices","",""
"AM broadcast receivers","Manufacturing & Devices","",""
"AM receivers","Manufacturing & Devices","",""
"Amorphous semiconductors","Manufacturing & Devices","",""
"Amperometric and conductometric cell","Manufacturing & Devices","",""
"Amplification","Manufacturing & Devices","",""
"Amplifier distortion","Manufacturing & Devices","",""
"Amplifier noise","Manufacturing & Devices","",""
"Amplifiers","Manufacturing & Devices","",""
"Amplitude modulation","Manufacturing & Devices","",""
"Amplitude modulators","Manufacturing & Devices","",""
"Amplitude shift keying","Manufacturing & Devices","",""
"AM-PM conversion","Manufacturing & Devices","",""
"Analog 2-D filters","Manufacturing & Devices","",""
"Analog and hybrid computers and systems","Manufacturing & Devices","",""
"Analog array processors","Manufacturing & Devices","",""
"Analog base-band filter","Manufacturing & Devices","",""
"Analog circuits","Manufacturing & Devices","",""
"Analog complex filter","Manufacturing & Devices","",""
"Analog computer circuits","Manufacturing & Devices","",""
"Analog computers","Manufacturing & Devices","",""
"Analog filters","Manufacturing & Devices","",""
"Analog fir filter","Manufacturing & Devices","",""
"Analog folding","Manufacturing & Devices","",""
"Analog front end (AFE)","Manufacturing & Devices","",""
"Analog integrated circuits","Manufacturing & Devices","",""
"Analog memories","Manufacturing & Devices","",""
"Analog memory","Manufacturing & Devices","",""
"Analog multipliers","Manufacturing & Devices","",""
"Analog nonvolatile memory","Manufacturing & Devices","",""
"Analog pin","Manufacturing & Devices","",""
"Analog polyphase filter","Manufacturing & Devices","",""
"Analog processing circuits","Manufacturing & Devices","",""
"Analog RF-CMOS","Manufacturing & Devices","",""
"Analog shift registers","Manufacturing & Devices","",""
"Analog signal processing","Manufacturing & Devices","",""
"Analog storage","Manufacturing & Devices","",""
"Analog switches","Manufacturing & Devices","",""
"Analog system fault diagnosis","Manufacturing & Devices","",""
"Analog system fault tolerance","Manufacturing & Devices","",""
"Analog system testing","Manufacturing & Devices","",""
"Analog techniques","Manufacturing & Devices","",""
"Analog-digital integrated circuits","Manufacturing & Devices","",""
"Analog-to-digital conversion (ADC)","Manufacturing & Devices","",""
"Analog/Mixed-signal","Computing & IT","",""
"analysis","Energy, Computing & IT, Environment","",""
"analytics","Critical Infrastructure","",""
"analyzing","Computing & IT","",""
"and classification including of substances as with chemical sensors","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"and high density CAMs","Manufacturing & Devices","",""
"and statistical memory designs","Manufacturing & Devices","",""
"angular rate sensors","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Critical Infrastructure, Energy, Education, Communications, Environment, Entertainment, Transportation, Defense","",""
"animal tracking","Environment","",""
"animation","Entertainment","",""
"Annealing processes for semiconductor devices","Manufacturing & Devices","",""
"Antenna arrays","Manufacturing & Devices","",""
"Antenna beamforming diversity","Manufacturing & Devices","",""
"antenna demonstrations","Education","",""
"Antenna measurements","Manufacturing & Devices","",""
"antenna miniaturization","Defense","",""
"antenna packaging","Retail, Manufacturing & Devices, Defense","",""
"antenna packaging interaction","Communications","",""
"Antenna phased arrays","Manufacturing & Devices","",""
"Antennas","Critical Infrastructure, Manufacturing & Devices, Computing & IT, Communications, Defense","",""
"antennas","Entertainment, Defense, Critical Infrastructure, Transportation, Education, Manufacturing & Devices, Computing & IT, Communications","",""
"Anticipating the Enemy","Defense","",""
"Antifuse circuitry","Manufacturing & Devices","",""
"Anti-alias filters","Manufacturing & Devices","",""
"Anti-Jam","Communications","",""
"Aperture time","Manufacturing & Devices","",""
"appliances","Retail","",""
"applications","Energy","",""
"Application-specific integrated circuit (ASIC)","Manufacturing & Devices","",""
"Application-speciic processors","Computing & IT","",""
"Approximate processing","Manufacturing & Devices","",""
"Approximation methods","Manufacturing & Devices","",""
"APS","Manufacturing & Devices","",""
"Arc discharges","Manufacturing & Devices","",""
"Architecture redundancy","Manufacturing & Devices","",""
"archiving junk","Computing & IT","",""
"Arcing","Critical Infrastructure","",""
"Arithmetic codes","Manufacturing & Devices","",""
"Arithmetic units","Manufacturing & Devices","",""
"Arms safing","Defense","",""
"Array antennas","Manufacturing & Devices","",""
