Type,ID,Name,Description,URL,Tags,Societies,Year,Standard Status,Technical Committees,Keywords
Periodical,1545-5963,"Computational Biology and Bioinformatics, IEEE/ACM Transactions on","Specific topics of interest include, but are not limited to, sequence analysis, comparison and alignment methods; motif, gene and signal recognition; molecular evolution; phylogenetics and phylogenomics; determination or prediction of the structure of RNA and Protein in two and three dimensions; DNA twisting and folding; gene expression and gene regulatory networks; deduction of metabolic pathways; micro-array design and analysis; proteomics; functional genomics; molecular docking and drug design; computational problems in genetics such as linkage and QTL analysis, linkage disequilibrium analysis in populations, and haplotype determination; systems biology.",http://ieeexplore.ieee.org/servlet/opac?punumber=8857    ,,"CI, C  CS, EMB",,,,Biomedical
Periodical,1063-6692,"Networking, IEEE/ACM Transactions on","Network architecture and design, communication protocols, network software, network technologies, network software, network technologies, network services and applications, and network operations and management.",http://ieeexplore.ieee.org/servlet/opac?punumber=90    ,,"COM, C",,,,Computer Communications and Networking
Periodical,0885-8985,"Aerospace and Electronic Systems Magazine, IEEE","The IEEE Aerospace and Electronic Systems Magazine publishes articles concerned with the various aspects of systems for space, air, ocean, or ground environments.",http://ieeexplore.ieee.org/servlet/opac?punumber=62    ,,AES,,,,General/Others (Aerospace and Electronic Systems)
Periodical,0733-8724,"Lightwave Technology, Journal of","All aspects of optical guided-wave science, technology, and engineering in the areas of fiber and cable technologies; active and passive guided-wave componentry (light sources, detectors, repeaters, switches, fiber sensors, etc.); integrated optics and optoelectronics; systems and subsystems; new applications; and unique field trials.",http://ieeexplore.ieee.org/servlet/opac?punumber=50    ,,"AES, COM, ED, IM, MTT, PHOT, UFFC",,,,Accelerator Technology
Periodical,1521-9615,Computing in Science & Engineering ,"This magazine emphasizes articles that help define the field as the interface among the applications (in science and engineering), algorithms (numerical and symbolic), system software and computer architecture. Technical articles are complemented by Media reviews (books, tapes, CD's, etc), Product reviews (software/hardware), Practices and Experiences, Interviews, Computer Society News in the Field, Call for Papers, Calendar, Hot Technical Topics, Computational Curricula, National & International Programs and Policies, Standardization Issues in CS&E.",http://ieeexplore.ieee.org/servlet/opac?punumber=5992    ,,C,,,,General/Other (Computer Engineering)
Periodical,0018-926X,"Antennas and Propagation, IEEE Transactions on","Experimental and theoretical advances in antennas including design and development, and in the propagation of electromagnetic waves including scattering, diffraction and interaction with continuous media; and applications pertinent to antennas and propagation, such as remote sensing, applied optics, and millimeter and submillimeter wave techniques.",http://ieeexplore.ieee.org/servlet/opac?punumber=8,,AP,,,,Antennas
Periodical,1045-9243,"Antennas and Wireless Propagation Letters, IEEE",IEEE Antennas and Wireless Propagation Letters (AWP Letters) will be devoted to the rapid electronic publication of short manuscripts in the technical areas of Antennas and Wireless Propagation.,http://ieeexplore.ieee.org/servlet/opac?punumber=74    ,,AP,,,,Antennas
Periodical,1057-7157,"Microelectromechanical Systems, Journal of","A journal covering Microsensing, Microactuation, Micromechanics, Microdynamics, and Microelectromechanical Systems (MEMS). Contains articles on devices with dimensions that typically range from macrometers to millimeters, microfabrication techniques, microphenomena; microbearings, and microsystems; theoretical, computational, modeling and control results; new materials and designs; tribology; microtelemanipulation; and applications to biomedical engineering, optics, fluidics, etc. The Journal is jointly sponsored by the IEEE Electron Devices (ED), IEEE Industrial Electronics (IE) and IEEE Robotics and Automation (RA) societies and is a publication both of IEEE and The American Society of Mechanical Engineers (ASME).",http://ieeexplore.ieee.org/servlet/opac?punumber=84    ,,"ED, IE, RA",,,,General/Other (Control Automation)
Periodical,1083-4435,"Mechatronics, IEEE/ASME Transactions on","Synergetic integration of mechanical engineering with electronic and intelligent computer control in the design and manufacture of industrial products and processes. (4) (IEEE Guide for Authors) A primary purpose is to have an aarchival publication which will encompass both theory and practice. Papers will be published which disclose significant new knowledge needed to implement intelligent mechatronics systems, from analysis and design through simulation and hardware and software implementation. A letters section dedicated to rapid publication of short correspondence items concerning new research results will also be contained.",http://ieeexplore.ieee.org/servlet/opac?punumber=3516,,"IE, RA",,,,General/Other (Control Automation)
Periodical,0018-9316,"Broadcasting, IEEE Transactions on","Broadcast technology, including devices, equipment, techniques, and systems related to broadcast technology, including the production, distribution, transmission, and propagation aspects.",http://ieeexplore.ieee.org/servlet/opac?punumber=11,,BT,,,,Broadcasting
