Type,ID,Name,Description,URL,Tags,Societies,Year,Standard Status,Technical Committee,Keywords,Priority
Standard,127 - 1963,Standard for Aerospace Equipment Voltage and Frequency Ratings,,http://standards.ieee.org/cgi-bin/status?Designation: 127-1963,,AES,,Withdrawn,EPES,              ,no
Standard,128 - 1976,IEEE Guide for Aircraft Electric Systems,,http://standards.ieee.org/cgi-bin/status?Designation: 128-1976,,AES,,Withdrawn,EPES,"aircraft, systems, electric              ",no
Standard,132 - 1953,Test Code for D-C Aircarft Rotating Machines,,http://standards.ieee.org/cgi-bin/status?Designation: 132-1953,,AES,,Withdrawn,EPES,"aircraft, rotating, machines, dc, test              ",no
Standard,134 - 1955,Trial-Use Test Code for Direct-Current Carbon-Pile Voltage Regulators for Aircraft,,http://standards.ieee.org/cgi-bin/status?Designation: 134-1955,,AES,,Withdrawn,EPES,"regulator, voltage, carbon, dc              ",no
Standard,135 - 1969,"IEEE Recommended Practice for Aircraft, Missile, and Space Equipment Electrical Insulation Tests",,http://standards.ieee.org/cgi-bin/status?Designation: 135-1969,,AES,,Withdrawn,EPES,"aircraft, missile, space, insulation, equipment              ",no
Standard,136 - 1959,Trial-Use Test Procedure and Presentation of Aircraft Generator and Regulator Characteristics,,http://standards.ieee.org/cgi-bin/status?Designation: 136-1959,,AES,,Withdrawn,EPES,"aircraft, generator, regulator, characteristics  high-voltage testing  testing""  ""            ",no
Standard,137 - 1960,IEEE Trial-Use Test Procedure for AC 400 Hz Aircraft Induction Motors,,http://standards.ieee.org/cgi-bin/status?Designation: 137-1960,,AES,,Withdrawn,EPES,"aircraft, induction, motor              ",no
Standard,138 - 1960,Trial-Use Test Procedure for Aircraft Alternating-Current Generators,,http://standards.ieee.org/cgi-bin/status?Designation: 138-1960,,AES,,Withdrawn,EPES,"aircraft, generator, ac              ",no
Standard,172 - 1983,IEEE Standard Definitions of Navigation Aid Terms,,http://standards.ieee.org/cgi-bin/status?Designation: 172-1983,,AES,,Withdrawn,GCS,              ,no
Standard,173 - 1959,"IEEE Standards on Navigation Aids:  Direction Finder Measurements, 1959",,http://standards.ieee.org/cgi-bin/status?Designation: 173-1959,,AES,,Withdrawn,GCS,"direction, finder, measurement              ",no
